dataset,seed,variant,ari,nmi,acc,f1_macro,q_cell,q_gene,q_total,graph_enabled,negative_control,pca_ari,pca_nmi,pca_acc,delta_ari_vs_pca,regret_vs_pca,negative_transfer,win_vs_pca,tie_vs_pca,loss_vs_pca,rank_ari_desc,oracle_ari,oracle_source_variant,oracle_gain_vs_pca,oracle_gap
Pollen,42,neg_random_cell_graph,0.30372050748114354,0.4510096809630176,0.48172757475083056,0.39337057767793215,0.6205760639893365,0.9291977276900223,0.7748868958396794,True,random_cell_graph,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.2703265933308402,0.0,False,True,False,False,10.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.5663210689379063
Pollen,42,neg_degree_shuffle_graph,0.3140462772184468,0.4659312352105017,0.5016611295681063,0.44460204435304235,0.6205760639893365,0.9291977276900223,0.7748868958396794,True,degree_preserving_shuffled_cell_graph,0.03339391415030334,0.11612458329724176,0.23255813953488372,0.28065236306814345,0.0,False,True,False,False,9.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.5559952992006031
Pollen,42,neg_shuffled_gene_cell_graph,0.020206721352803148,0.12174577380454714,0.2026578073089701,0.19015836094130056,0.6205760639893365,0.9291977276900223,0.7748868958396794,True,shuffled_gene_module_cell_graph,0.03339391415030334,0.11612458329724176,0.23255813953488372,-0.013187192797500195,0.013187192797500195,True,False,False,True,12.0,0.8700415764190499,rdg_always_on,0.8366476622687465,0.8498348550662468
Pollen,3047,pca_kmeans,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.0761617054720503,0.5913879140126775,0.9277907349732804,0.759589324492979,False,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.0,0.0,False,False,True,False,12.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.7425942291002284
Pollen,3047,pca_spectral_kmeans,0.39288211458102934,0.6782692636105576,0.584717607973422,0.4860603731962955,0.5913879140126775,0.9277907349732804,0.759589324492979,False,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.36012122996094514,0.0,False,True,False,False,7.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.3824729991392833
Pollen,3047,rdg_cell_only,0.48495761971845386,0.7303040402007079,0.6578073089700996,0.5908493353600934,0.5913879140126775,0.9277907349732804,0.759589324492979,True,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.45219673509836966,0.0,False,True,False,False,6.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.29039749400185877
Pollen,3047,rdg_gene_only,0.6844584150705963,0.8457608696450379,0.707641196013289,0.6521059316240039,0.5913879140126775,0.9277907349732804,0.759589324492979,True,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.6516975304505122,0.0,False,True,False,False,5.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.09089669864971628
Pollen,3047,rdg_concat_kmeans,0.3013413423243721,0.5232805498734987,0.5049833887043189,0.28651352598328833,0.5913879140126775,0.9277907349732804,0.759589324492979,False,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.2685804577042879,0.0,False,True,False,False,9.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.47401377139594053
Pollen,3047,rdg_always_on,0.7753551137203126,0.8652777043391131,0.7774086378737541,0.6871338538005205,0.5913879140126775,0.9277907349732804,0.759589324492979,True,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.7425942291002284,0.0,False,True,False,False,2.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.0
Pollen,3047,safe_rdg_heuristic,0.7744554983797035,0.8670184666824602,0.7774086378737541,0.6867951651965758,0.5913879140126775,0.9277907349732804,0.759589324492979,True,,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.7416946137596193,0.0,False,True,False,False,4.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.0008996153406091167
Pollen,3047,neg_random_cell_graph,0.2943908836636719,0.45475353348373815,0.46179401993355484,0.38485073466248026,0.5913879140126775,0.9277907349732804,0.759589324492979,True,random_cell_graph,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.2616299990435877,0.0,False,True,False,False,10.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.48096423005664074
Pollen,3047,neg_degree_shuffle_graph,0.3393646469878572,0.4815556611382932,0.5348837209302325,0.42336291000830445,0.5913879140126775,0.9277907349732804,0.759589324492979,True,degree_preserving_shuffled_cell_graph,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.306603762367773,0.0,False,True,False,False,8.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.43599046673245545
Pollen,3047,neg_shuffled_gene_cell_graph,0.06052357665848339,0.16003288223019987,0.24916943521594684,0.22532234821273472,0.5913879140126775,0.9277907349732804,0.759589324492979,True,shuffled_gene_module_cell_graph,0.03276088462008422,0.1007034894685966,0.24584717607973422,0.02776269203839917,0.0,False,True,False,False,11.0,0.7753551137203126,rdg_always_on,0.7425942291002284,0.7148315370618292
Pollen,3407,pca_kmeans,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.1529570072444969,0.5963035805008606,0.9281131979709595,0.76220838923591,False,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.0,0.0,False,False,True,False,11.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.6751847602850587
Pollen,3407,pca_spectral_kmeans,0.4363714505357742,0.6954235900553627,0.6378737541528239,0.5526466204372993,0.5963035805008606,0.9281131979709595,0.76220838923591,False,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.35289466043920953,0.0,False,True,False,False,6.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.3222900998458492
Pollen,3407,rdg_cell_only,0.3944280628975552,0.6277051529949624,0.5913621262458472,0.49338702166578935,0.5963035805008606,0.9281131979709595,0.76220838923591,True,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.31095127280099055,0.0,False,True,False,False,7.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.3642334874840682
Pollen,3407,rdg_gene_only,0.7586615503816234,0.8714075434011357,0.7940199335548173,0.6942093575983976,0.5963035805008606,0.9281131979709595,0.76220838923591,True,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.6751847602850587,0.0,False,True,False,False,1.5,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.0
Pollen,3407,rdg_concat_kmeans,0.32512371666901285,0.6136327298454557,0.5813953488372093,0.33001692608985733,0.5963035805008606,0.9281131979709595,0.76220838923591,False,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.24164692657244818,0.0,False,True,False,False,9.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.43353783371261057
Pollen,3407,rdg_always_on,0.7564323599073581,0.8711736477246441,0.7906976744186046,0.6885003885003885,0.5963035805008606,0.9281131979709595,0.76220838923591,True,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.6729555698107934,0.0,False,True,False,False,4.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.0022291904742652857
Pollen,3407,safe_rdg_heuristic,0.7586615503816234,0.8714075434011356,0.7940199335548173,0.6942093575983976,0.5963035805008606,0.9281131979709595,0.76220838923591,True,,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.6751847602850587,0.0,False,True,False,False,1.5,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.0
Pollen,3407,neg_random_cell_graph,0.19994430950426043,0.4313178364371432,0.40863787375415284,0.357960976441834,0.5963035805008606,0.9281131979709595,0.76220838923591,True,random_cell_graph,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.11646751940769576,0.0,False,True,False,False,10.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.558717240877363
Pollen,3407,neg_degree_shuffle_graph,0.35339342732239154,0.4793459814369641,0.53156146179402,0.45967598836278434,0.5963035805008606,0.9281131979709595,0.76220838923591,True,degree_preserving_shuffled_cell_graph,0.08347679009656467,0.25426270888664476,0.30564784053156147,0.26991663722582687,0.0,False,True,False,False,8.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.4052681230592319
Pollen,3407,neg_shuffled_gene_cell_graph,0.05520112671719562,0.16792924344313884,0.27906976744186046,0.26788433849395293,0.5963035805008606,0.9281131979709595,0.76220838923591,True,shuffled_gene_module_cell_graph,0.08347679009656467,0.25426270888664476,0.30564784053156147,-0.02827566337936905,0.02827566337936905,True,False,False,True,12.0,0.7586615503816234,rdg_gene_only,0.6751847602850587,0.7034604236644278
Wang,42,pca_kmeans,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.9286594137771856,0.5483892106338722,0.8485172446177791,0.6984532276258257,False,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.0,0.0,False,False,True,False,5.5,0.9694165426212082,rdg_always_on,0.1835385805266525,0.1835385805266525
Wang,42,pca_spectral_kmeans,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,0.44495774142622635,0.5483892106338722,0.8485172446177791,0.6984532276258257,False,,0.7858779620945557,0.6931907552992126,0.9472633680008404,-0.7796249170139119,0.7796249170139119,True,False,False,True,8.5,0.9694165426212082,rdg_always_on,0.1835385805266525,0.9631634975405644
Wang,42,rdg_cell_only,0.0062530450806438575,0.0034034344347013004,0.7807542809118605,0.44495774142622635,0.5483892106338722,0.8485172446177791,0.6984532276258257,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,-0.7796249170139119,0.7796249170139119,True,False,False,True,8.5,0.9694165426212082,rdg_always_on,0.1835385805266525,0.9631634975405644
Wang,42,rdg_gene_only,0.9675660264254676,0.9203843501235588,0.9926462863746192,0.9892526656640789,0.5483892106338722,0.8485172446177791,0.6984532276258257,True,,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.1816880643309119,0.0,False,True,False,False,4.0,0.9694165426212082,rdg_always_on,0.1835385805266525,0.0018505161957406147
