variant,dataset,n_runs,ari_mean,nmi_mean,acc_mean,rank_ari_mean,wins_vs_pca,ties_vs_pca,losses_vs_pca,delta_ari_vs_pca_mean,regret_vs_pca_mean,oracle_gap_mean,negative_transfer_rate,graph_activation_rate
neg_shuffled_gene_cell_graph,worm_neuron_cell,3,0.021908697099926655,0.054892752263863996,0.232202580028667,8.666666666666666,0,0,3,-0.11820840775615608,0.11820840775615608,0.19423691168753263,1.0,1.0
pca_kmeans,Limb_Muscle,3,0.4917055525360808,0.6428743021914979,0.7037605525709901,10.0,0,3,0,0.0,0.0,0.4174202163791718,0.0,0.0
pca_kmeans,Pollen,3,0.04987719628898407,0.15703026055082772,0.2613510520487265,11.333333333333334,0,3,0,0.0,0.0,0.7514755505513445,0.0,0.0
pca_kmeans,Wang,3,0.8689797308055377,0.7817542365951061,0.9685541198305144,4.833333333333333,0,3,0,0.0,0.0,0.09967616840088515,0.0,0.0
pca_kmeans,worm_neuron_cell,3,0.14011710485608272,0.3798377437236697,0.4452142060837713,6.333333333333333,0,3,0,0.0,0.0,0.07602850393137654,0.0,0.0
pca_spectral_kmeans,Limb_Muscle,3,0.5303109758805796,0.6693651409012942,0.7449475569199283,9.666666666666666,2,0,1,0.038605423344498825,0.07149431505977473,0.37881479303467297,0.3333333333333333,0.0
pca_spectral_kmeans,Pollen,3,0.4004673505939551,0.6624568119018469,0.5968992248062016,7.0,3,0,0,0.350590154304971,0.0,0.4008853962463736,0.0,0.0
pca_spectral_kmeans,Wang,3,0.0062530450806438575,0.003403434434701301,0.7807542809118605,8.333333333333334,0,0,3,-0.8627266857248937,0.8627266857248937,0.962402854125779,1.0,0.0
pca_spectral_kmeans,worm_neuron_cell,3,0.01263885124470196,0.15452192704128107,0.2935180761267718,11.0,0,0,3,-0.12747825361138077,0.12747825361138077,0.2035067575427573,1.0,0.0
rdg_always_on,Limb_Muscle,3,0.8299949522333806,0.8723965812117601,0.9256416815894943,4.333333333333333,3,0,0,0.3382893996972997,0.0,0.07913081668187212,0.0,1.0
rdg_always_on,Pollen,3,0.8006096833489069,0.8773433610885726,0.8084163898117387,2.6666666666666665,3,0,0,0.7507324870599228,0.0,0.0007430634914217619,0.0,1.0
rdg_always_on,Wang,3,0.6374375722593532,0.6177310424835175,0.9156774170956332,5.666666666666667,2,0,1,-0.23154215854618435,0.3141875849930801,0.3312183269470695,0.3333333333333333,1.0
rdg_always_on,worm_neuron_cell,3,0.1893981596550132,0.49146085872702105,0.5445134575569358,3.3333333333333335,3,0,0,0.04928105479893047,0.0,0.026747449132446078,0.0,1.0
