dataset,variant,method_name,cluster_method,count_success,acc_mean,acc_std,nmi_mean,nmi_std,ari_mean,ari_std,f1_macro_mean,f1_macro_std,fmi_mean,fmi_std,v_measure_mean,v_measure_std,homogeneity_mean,homogeneity_std,completeness_mean,completeness_std
Guo,apa_v2_B_vicreg,apa_v2_B_vicreg,kmeans_known_k,3,0.3041088854648177,0.07827325705359504,0.3520750850043784,0.19313451790942043,0.16269524857851075,0.10011222194059688,0.1832520029693038,0.05658868413767659,0.305237380584012,0.07465872974131248,0.35207508500437845,0.19313451790942043,0.3377164183517094,0.19216893253242207,0.3684753825411554,0.19363965622241552
Guo,apa_v2_B_vicreg,apa_v2_B_vicreg,leiden_fixed,3,0.163020030816641,0.07685138304320044,0.3115132879349357,0.17843101873768602,0.08234997919263251,0.0652953264698638,0.19027377529828585,0.10257472311694305,,,,,,,,
Guo,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,kmeans_known_k,3,0.3258346173600411,0.0389572602778986,0.4080510655321802,0.04230315597687344,0.2232315391704073,0.04463550568211067,0.22256695478439095,0.0335669916639032,0.3284376009903931,0.039893102590233,0.4080510655321801,0.04230315597687338,0.41222094916520763,0.04106751481859054,0.4039730134868086,0.04348574453324154
Guo,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,leiden_fixed,3,0.1972778633795583,0.03532181737636936,0.41724992826827473,0.06085005587452604,0.1298093326708408,0.027210283814430688,0.24421171858897817,0.047957650911353636,,,,,,,,
Guo,apa_v2_D_proto,apa_v2_D_proto,kmeans_known_k,3,0.28412942989214174,0.034885131780512654,0.37914137329069325,0.0056161670816623375,0.15247491720265546,0.0394045643507153,0.19240405457813217,0.03484318219835478,0.2711168960834088,0.028292721286319825,0.3791413732906933,0.005616167081662367,0.3820991605429906,0.004996134960417986,0.37631101209344997,0.009126478525103095
Guo,apa_v2_D_proto,apa_v2_D_proto,leiden_fixed,3,0.20431432973805855,0.0300489904301976,0.40932161842800124,0.039209174971393194,0.12405782520823279,0.025121699713882926,0.24692523852613957,0.0351503440254073,,,,,,,,
Guo,apa_v2_E_full_generator,apa_v2_E_full_generator,kmeans_known_k,3,0.3186954288649204,0.03768250660821706,0.42747092809108483,0.068847668344892,0.17436792408548962,0.06074406844368158,0.2284702722536958,0.0395945469818947,0.296765505567033,0.042405146847190295,0.42747092809108483,0.06884766834489207,0.4276829510742121,0.07914241799091624,0.42758397728614805,0.05887684179991209
Guo,apa_v2_E_full_generator,apa_v2_E_full_generator,leiden_fixed,3,0.17380585516178737,0.023739316907778567,0.3724559823086678,0.04987940475073924,0.09076741608628751,0.021719061635550964,0.20998520176939894,0.037022749440537836,,,,,,,,
Macosko,apa_v2_A_random_student,apa_v2_A_random_student,kmeans_known_k,3,0.4234586085818009,0.09437872978693147,0.33538219017090914,0.031985860731471624,0.2682205973062841,0.10347928442299253,0.18065847028810883,0.02410907943374554,0.5036814015025214,0.09418242381184119,0.33538219017090914,0.031985860731471624,0.4675965834715527,0.029081354882435746,0.2617782924722818,0.031110819731542054
Macosko,apa_v2_A_random_student,apa_v2_A_random_student,leiden_fixed,3,0.12997678985895375,0.024568869826598963,0.2644855432842671,0.022413826490717506,0.025504323201033016,0.006789870270423874,0.13595241485818915,0.032339921726669905,,,,,,,,
Macosko,apa_v2_B_vicreg,apa_v2_B_vicreg,kmeans_known_k,3,0.4278923406534547,0.06074797001443812,0.14102329351323697,0.00930537240975099,0.10330956429909649,0.03048432636560553,0.14563347650917144,0.008797100636289832,0.44804225975741974,0.03329674781687493,0.14102329351323697,0.009305372409750977,0.16027487167705293,0.007665038755742618,0.12600177140068206,0.010579674582689278
Macosko,apa_v2_B_vicreg,apa_v2_B_vicreg,leiden_fixed,3,0.12209873236921978,0.02071808931476715,0.2122455590337636,0.04483919133791913,0.019826915350412373,0.008153270277590345,0.12295463030695306,0.025372515567279492,,,,,,,,
Macosko,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,kmeans_known_k,3,0.5656951139677439,0.08474171659590425,0.24267264747092135,0.047294593771869946,0.31422356177246413,0.1063693070409175,0.1735301399586961,0.011288946310588261,0.6102953398324386,0.09933088692285877,0.24267264747092135,0.04729459377186996,0.25889899276673634,0.05908036797812537,0.23022312321409358,0.04667556380054672
Macosko,apa_v2_C_ema_teacher,apa_v2_C_ema_teacher,leiden_fixed,3,0.14147027316550617,0.0059539910605044145,0.2472695989912406,0.012011266931070755,0.035112394557515934,0.007681583707031683,0.12876647164126362,0.010556210250661746,,,,,,,,
Macosko,apa_v2_D_proto,apa_v2_D_proto,kmeans_known_k,3,0.5876852347795036,0.07815672842563548,0.2194402822808589,0.06486657048047563,0.32854584162467,0.0712997476488472,0.16504206318460363,0.03844145455389131,0.6388372836183595,0.058904160421421645,0.21944028228085893,0.06486657048047566,0.22557059615339103,0.07323485019947755,0.2151261596317185,0.058468943581295764
Macosko,apa_v2_D_proto,apa_v2_D_proto,leiden_fixed,3,0.13828631791941914,0.014322884682723818,0.25207255254383665,0.028468324106053332,0.03447939134010131,0.007332202510616428,0.12457839242821668,0.0408885407773095,,,,,,,,
Macosko,apa_v2_E_full_generator,apa_v2_E_full_generator,kmeans_known_k,3,0.6633190501696126,0.012988541103183694,0.13761992885034915,0.028121042387754525,0.2753057292044824,0.040052651424000385,0.14341602975872234,0.013714438477589535,0.7107270561809363,0.015902876918272843,0.13761992885034913,0.028121042387754525,0.10863874350456747,0.020644192490550762,0.18788143946414151,0.04298568221479698
Macosko,apa_v2_E_full_generator,apa_v2_E_full_generator,leiden_fixed,3,0.13208950782598347,0.012591000993548318,0.17219177802006522,0.015651178822611644,0.028644227849574957,0.007716509714962929,0.10166993288979558,0.02371598872423459,,,,,,,,
