dataset,method,seed,variant,ablation_method,neighbor_backend,pseudo_weight,pseudo_gate_p,edge_dropout_keep,alpha_mean,beta_mean,beta_mode,beta_fixed,beta_max,beta_target_mean,beta_std,beta_p,target_mode,noise_mode,bad_edge_ratio,oracle_neighbor,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,stage,run_dir,group,nomix_ari,nomix_f1_macro,delta_ari_vs_nomix,delta_f1_vs_nomix,ari_rank
Guo,snn_neighbormix,2,snn_neighbormix,snn_neighbormix,snn_jaccard_weighted_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8554699537750385,0.84337198463032,0.8138307555652498,0.823126919965332,0.8405164510850078,0.84337198463032,0.8526979819926555,0.8342477780044033,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/snn_neighbormix/seed2,neutral,0.8312158272070158,0.7820204092535549,-0.01738507164176606,0.04110651071177718,7.0
Guo,truncated_normal_beta_mean0.05_std0.02,0,truncated_normal_beta_mean0.05_std0.02,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499950680732728,0.050004931692034,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8725731895223421,0.8557757398540541,0.8451155982671587,0.8053877850930684,0.8673939840350033,0.8557757398540541,0.8657083369488805,0.8460684782391317,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/truncated_normal_beta_mean0.05_std0.02/seed0,neutral,0.8419856832113954,0.8353301520712294,0.0031299150557632105,-0.029942366978160995,1.0
Guo,truncated_normal_beta_mean0.05_std0.02,1,truncated_normal_beta_mean0.05_std0.02,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9500239998400212,0.0499759987276047,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8975346687211094,0.8712022350330049,0.8681662989139378,0.8270008056173581,0.8872213714537734,0.8712022350330049,0.8793482684253704,0.8632057414402607,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/truncated_normal_beta_mean0.05_std0.02/seed1,neutral,0.8386476962743222,0.8341045832709125,0.029518602639615588,-0.007103777653554411,1.0
Guo,truncated_normal_beta_mean0.05_std0.02,2,truncated_normal_beta_mean0.05_std0.02,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499986237883568,0.0500013751816004,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.8702619414483821,0.8528926275236677,0.8338649768105815,0.8462778972098359,0.8577224326035491,0.8528926275236677,0.8573499577157586,0.8484814046057206,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Guo/truncated_normal_beta_mean0.05_std0.02/seed2,neutral,0.8312158272070158,0.7820204092535549,0.002649149603565659,0.06425748795628106,3.0
Macosko,fixed_beta_0.05,0,fixed_beta_0.05,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499998688697816,0.0500000081956386,fixed,0.05,0.05,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.5576459560792716,0.621260082606654,0.3792751091819349,0.5566871465234807,0.6017083073342447,0.6212600826066541,0.8162237865154001,0.5014769880345077,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/fixed_beta_0.05/seed0,negative,0.3878266965764106,0.4836887227059757,-0.008551587394475701,0.07299842381750504,6.0
Macosko,fixed_beta_0.05,1,fixed_beta_0.05,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499998688697816,0.0500000081956386,fixed,0.05,0.05,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.5135913229780397,0.6116448653837354,0.3821678938220423,0.5340096335511161,0.6040186389271903,0.6116448653837353,0.8076574929671149,0.4921931503660651,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/fixed_beta_0.05/seed1,negative,0.382798485100648,0.6174183150854969,-0.0006305912786057077,-0.08340868153438086,8.0
Macosko,fixed_beta_0.05,2,fixed_beta_0.05,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499998688697816,0.0500000081956386,fixed,0.05,0.05,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.5676218532404927,0.6198483685148465,0.3880619270126847,0.6518629878583705,0.6089579045379935,0.6198483685148466,0.8042606284870664,0.504231120573468,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/fixed_beta_0.05/seed2,negative,0.3038171975678505,0.4604124327872176,0.08424472944483419,0.19145055507115288,5.0
Macosko,fixed_beta_0.1,0,fixed_beta_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.1,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.5230762363863596,0.6128796636932126,0.3769024644167392,0.5623962687799303,0.599693249477332,0.6128796636932125,0.8131298423927428,0.4917708401310606,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/fixed_beta_0.1/seed0,negative,0.3878266965764106,0.4836887227059757,-0.010924232159671421,0.07870754607395464,7.0
Macosko,fixed_beta_0.1,1,fixed_beta_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.1,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.6615113372612034,0.6749428595859188,0.5359461830707533,0.5516889325728304,0.7196223460363959,0.6749428595859189,0.8312615155421125,0.5681098512868232,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/fixed_beta_0.1/seed1,negative,0.382798485100648,0.6174183150854969,0.15314769797010525,-0.06572938251266658,4.0
Macosko,fixed_beta_0.1,2,fixed_beta_0.1,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.1,0.1,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.508391358685949,0.6177578343749399,0.3788974501177174,0.556128500779326,0.6013942453175729,0.6177578343749399,0.8199020934888751,0.495575313568977,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/fixed_beta_0.1/seed2,negative,0.3038171975678505,0.4604124327872176,0.07508025254986689,0.09571606799210836,7.0
Macosko,gaussian_noise_matched_anchor_target,0,gaussian_noise_matched_anchor_target,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9499939050163542,0.0500060937694673,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,gaussian_matched,0.0,none,0.715363327977147,0.6729914260211843,0.544148724769666,0.7446374570264047,0.7269577623526124,0.6729914260211844,0.7910334366831776,0.5856045525577993,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/gaussian_noise_matched_anchor_target/seed0,negative,0.3878266965764106,0.4836887227059757,0.1563220281932554,0.26094873432042903,2.0
Macosko,gaussian_noise_matched_anchor_target,1,gaussian_noise_matched_anchor_target,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.950002961273704,0.0499970377489392,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,gaussian_matched,0.0,none,0.7024415282985181,0.6719016580702944,0.5692491073523668,0.6813569017446995,0.7431349691924843,0.6719016580702944,0.8016201022062319,0.5783180326104138,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/gaussian_noise_matched_anchor_target/seed1,negative,0.382798485100648,0.6174183150854969,0.18645062225171877,0.0639385866592026,1.0
Macosko,gaussian_noise_matched_anchor_target,2,gaussian_noise_matched_anchor_target,beta_control,pca_cosine_knn,0.3,1.0,1.0,0.9500000007408004,0.0499999983193618,truncated_normal,0.0999999999999999,0.1,0.05,0.02,0.5,anchor,gaussian_matched,0.0,none,0.8829673272629888,0.7816673575415697,0.8718883587272666,0.7370813062370681,0.93253093271152,0.7816673575415697,0.7931194441329651,0.7705412836968066,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/gaussian_noise_matched_anchor_target/seed2,negative,0.3038171975678505,0.4604124327872176,0.568071161159416,0.2766688734498505,1.0
Macosko,global_random_neighbor_control,0,global_random_neighbor_control,global_random_neighbor_control,global_random_excluding_self,0.3,1.0,1.0,0.8999998569488525,0.1000000163912773,fixed,0.0999999999999999,0.0999999999999999,0.05,0.02,0.5,anchor,local_mix,0.0,none,0.528298518121764,0.6233678103653653,0.3922207902415417,0.5406266692442758,0.6121450148151072,0.6233678103653653,0.8243721934677347,0.501169132307501,12,,fixed,kmeans_known_k,True,full,results/experiments/neighbormix_beta_mechanism_20260617/full/Macosko/global_random_neighbor_control/seed0,negative,0.3878266965764106,0.4836887227059757,0.004394093665131105,0.056937946538300144,3.0
