source_root,dataset_group,dataset,method,variant,seed,epochs,mix_mode,gate_mode,acc,nmi,ari,f1_macro,fmi,delta_ari_vs_none,delta_ari_vs_fixed,path
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_none,rg_nm_v1_none,3407,80,none,none,0.5872428592570668,0.6098507941195784,0.37314313117790854,0.5099855269438018,0.4652894499504283,0.0,-0.022148674775710808,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_none/seed3407
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_random,rg_nm_v1_random,2024,80,random,constant,0.6068521533224804,0.6222170061118855,0.43941040268307524,0.5562449278928578,0.4966865417025209,0.002032031593116601,0.013868514604264581,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_random/seed2024
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_random,rg_nm_v1_random,3407,80,random,constant,0.6254994820186474,0.6230963088292589,0.4572285820461838,0.5172164129461636,0.5268870292627443,0.08408545086827524,0.06193677609256443,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_random/seed3407
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_reliability,rg_nm_v1_reliability,2024,80,reliability,topology,0.6385230131715258,0.6112986598819244,0.46817819293085816,0.5233114446651845,0.536173052867906,0.03079982184089952,0.0426363048520475,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_reliability/seed2024
rg_phase1_seeds2024_3407_e80,positive,SRP182008,rg_reliability,rg_nm_v1_reliability,3407,80,reliability,topology,0.6272754180849489,0.6231260666338492,0.4590182628881726,0.516068958027103,0.5290018137441981,0.08587513171026406,0.06372645693455325,results/formal/rg_phase1_seeds2024_3407_e80/SRP182008/rg_reliability/seed3407
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_far,rg_nm_v1_far,2024,80,far,constant,0.622910415773682,0.7253786170626163,0.5220581279080319,0.6642774940821432,0.601429992033277,-0.0014702059529675404,-0.0015100300819614887,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_far/seed2024
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_far,rg_nm_v1_far,3407,80,far,constant,0.7786112301757394,0.7986735353695595,0.7346989753223881,0.6988787254554942,0.7842639582343521,0.21361101249643832,0.2121854525368564,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_far/seed3407
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_fixed,rg_nm_v1_fixed,2024,80,fixed,constant,0.6121410201457351,0.7346856665058459,0.5235681579899933,0.6436776952653281,0.6032419780403141,3.982412899394827e-05,0.0,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_fixed/seed2024
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_fixed,rg_nm_v1_fixed,3407,80,fixed,constant,0.6240355765109301,0.7392519558498941,0.5225135227855318,0.6727302562700187,0.6024013948959255,0.0014255599595819346,0.0,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_fixed/seed3407
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_mutual,rg_nm_v1_mutual,2024,80,mutual,topology,0.7446420917273896,0.7714840261929958,0.7428398365359908,0.6666634981658699,0.786647151777103,0.21931150267499144,0.2192716785459975,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_mutual/seed2024
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_mutual,rg_nm_v1_mutual,3407,80,mutual,topology,0.645681525932276,0.7660373580433619,0.5398209587674154,0.6634410587426436,0.6152021556074029,0.018732995941465602,0.017307435981883668,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_mutual/seed3407
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_none,rg_nm_v1_none,2024,80,none,none,0.6250535790827261,0.7346999709932769,0.5235283338609994,0.6696968904211009,0.6034451527994453,0.0,-3.982412899394827e-05,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_none/seed2024
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_none,rg_nm_v1_none,3407,80,none,none,0.6107479639948564,0.7340664183320901,0.5210879628259498,0.6428271858639665,0.6012114438565981,0.0,-0.0014255599595819346,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_none/seed3407
rg_phase1_seeds2024_3407_e80,negative,Tosches,rg_random,rg_nm_v1_random,2024,80,random,constant,0.609515645092156,0.7332632960750941,0.5226241151305799,0.6382318785463028,0.6019634919481432,-0.0009042187304194593,-0.0009440428594134076,results/formal/rg_phase1_seeds2024_3407_e80/Tosches/rg_random/seed2024
