dataset_group,dataset,method,n_seeds,seeds,ari_mean,ari_std,acc_mean,nmi_mean,delta_ari_vs_none_mean,delta_ari_vs_fixed_mean,wins_vs_none,losses_vs_none,wins_vs_fixed,losses_vs_fixed,rank_by_ari_mean
positive,Quake_Smart-seq2_Lung,rg_far,3,42;2024;3407,0.6285463807679169,0.019729077086073465,0.683969769291965,0.7907751122400568,-0.008007498151419287,0.02114876662801653,2,1,2,1,5
positive,Quake_Smart-seq2_Lung,rg_fixed,3,42;2024;3407,0.6073976141399003,0.007424953941527758,0.6660700079554495,0.7721725624973447,-0.02915626477943582,0.0,2,1,0,0,6
positive,Quake_Smart-seq2_Lung,rg_mutual,3,42;2024;3407,0.6700119344750226,0.08007563631022575,0.6982895783611774,0.8016320492728136,0.03345805555568637,0.0626143203351222,3,0,3,0,3
positive,Quake_Smart-seq2_Lung,rg_none,3,42;2024;3407,0.6365538789193362,0.10110767863059131,0.6543357199681782,0.7719753721236048,0.0,0.02915626477943582,0,0,1,2,4
positive,Quake_Smart-seq2_Lung,rg_random,3,42;2024;3407,0.6744050675003057,0.0650153230095715,0.6984884645982499,0.783716304207644,0.03785118858096955,0.06700745336040537,2,1,2,1,2
positive,Quake_Smart-seq2_Lung,rg_reliability,3,42;2024;3407,0.6925007690089863,0.09677106461877907,0.6951073985680191,0.803903375798737,0.05594689008965007,0.08510315486908589,2,1,2,1,1
positive,SRP182008,rg_far,3,42;2024;3407,0.4663660269406925,0.0413448121100865,0.636155098416457,0.6249987610578077,0.042856317355083016,0.052673045922325225,3,0,3,0,1
positive,SRP182008,rg_fixed,3,42;2024;3407,0.41369298101836727,0.01615444301563441,0.5703714666272014,0.6103302945107355,-0.009816728567242214,0.0,1,2,0,0,6
positive,SRP182008,rg_mutual,3,42;2024;3407,0.424421409919437,0.0263340262949868,0.5813230723693947,0.620105491854501,0.0009117003338274995,0.010728428901069712,2,1,2,1,4
positive,SRP182008,rg_none,3,42;2024;3407,0.42350970958560946,0.04506234531571385,0.5997237432785754,0.6213711984080363,0.0,0.009816728567242214,0,0,2,1,5
positive,SRP182008,rg_random,3,42;2024;3407,0.445790937646557,0.009927368525487357,0.6134132504563169,0.6224773868787294,0.02228122806094751,0.032097956628189726,2,1,3,0,2
positive,SRP182008,rg_reliability,3,42;2024;3407,0.4306333418525363,0.05728025155187051,0.6128952691036456,0.6133762429627408,0.007123632266926823,0.016940360834169037,2,1,2,1,3
negative,Tosches,rg_far,3,42;2024;3407,0.5930423986999663,0.12267829313216885,0.6748464066295186,0.7510442195982969,-0.0033209840548912295,0.06932129760841439,1,2,1,2,3
negative,Tosches,rg_fixed,3,42;2024;3407,0.5237211010915519,0.0012908631720606062,0.6179454207743963,0.7367878135131158,-0.07264228166330562,0.0,2,1,0,0,5
negative,Tosches,rg_mutual,3,42;2024;3407,0.6090867372104837,0.11585821981434427,0.6802221745963709,0.7676543341361981,0.012723354455626187,0.08536563611893182,2,1,3,0,1
negative,Tosches,rg_none,3,42;2024;3407,0.5963633827548576,0.12827323214089445,0.6662023146163738,0.7481701126910167,0.0,0.07264228166330562,0,0,1,2,2
negative,Tosches,rg_random,3,42;2024;3407,0.5193605903687802,0.0029212001929232435,0.6171060151450207,0.7333605516680999,-0.07700279238607728,-0.00436051072277166,0,3,0,3,6
negative,Tosches,rg_reliability,3,42;2024;3407,0.5279365727125118,0.0030583272732344676,0.6303579082726104,0.7392685356889573,-0.0684268100423457,0.004215471620959921,2,1,3,0,4
neutral,Wang,rg_far,3,42;2024;3407,0.7470851501087805,0.035791447322538916,0.9364078859824211,0.6641675733803345,-0.1302606211030679,-0.19164620038893757,0,3,0,3,6
neutral,Wang,rg_fixed,3,42;2024;3407,0.9387313504977182,0.0004360746374700231,0.9859228910599853,0.8686699466253134,0.061385579285869664,0.0,1,2,0,0,4
neutral,Wang,rg_mutual,3,42;2024;3407,0.9422947714365849,0.0017934079623708,0.9867633154743145,0.8742528308377017,0.06494900022473649,0.00356342093886682,2,1,3,0,3
neutral,Wang,rg_none,3,42;2024;3407,0.8773457712118484,0.11472070438839364,0.9699898448716602,0.8070973223985084,0.0,-0.061385579285869664,0,0,2,1,5
neutral,Wang,rg_random,3,42;2024;3407,0.9542872140105415,0.0055378057833347805,0.9895647301887452,0.894945161089741,0.07694144279869301,0.015555863512823342,3,0,3,0,1
neutral,Wang,rg_reliability,3,42;2024;3407,0.943338397523689,0.001447718914617168,0.9870084392618272,0.8759667397786878,0.06599262631184051,0.004607047025970849,2,1,3,0,2
negative,worm_neuron_cell,rg_far,3,42;2024;3407,0.39721959585216343,0.08198478307170529,0.68307055263577,0.6303762864728576,-0.007916761294273433,-0.05998654589319343,1,2,0,3,5
negative,worm_neuron_cell,rg_fixed,3,42;2024;3407,0.4572061417453569,0.0524984267481944,0.6789297658862876,0.6270801979083299,0.05206978459892,0.0,3,0,0,0,1
negative,worm_neuron_cell,rg_mutual,3,42;2024;3407,0.3776050384833226,0.019739959328478645,0.6375218983914636,0.6162382863949091,-0.027531318663114274,-0.07960110326203428,0,3,0,3,6
negative,worm_neuron_cell,rg_none,3,42;2024;3407,0.40513635714643687,0.03383028261117679,0.6658703615225354,0.6418301395976198,0.0,-0.05206978459892,0,0,0,3,4
negative,worm_neuron_cell,rg_random,3,42;2024;3407,0.44214995451393285,0.034435229157475114,0.6709667144449754,0.6319666888591355,0.037013597367495966,-0.015056187231424026,3,0,1,2,2
negative,worm_neuron_cell,rg_reliability,3,42;2024;3407,0.43868790637588156,0.10438221888308286,0.6699315177576047,0.6111612699878193,0.033551549229444665,-0.018518235369475333,2,1,1,2,3
