stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir,n_rows,n_datasets,mean_ari,mean_nmi,screen_meets_baseline_count,screen_noncollapse_count,effective_screen_candidate,datasets
smoke,rank49_amp_drl_mask_policy_full,,,,,,,,,,,,,,,1,1,0.4485015223478951,0.5768371512523984,0,0,False,Melanoma_5K
smoke,rank50_cmt_collaborative_mask_target_full,,,,,,,,,,,,,,,1,1,0.3909889195021092,0.5466378345538686,0,0,False,Melanoma_5K
smoke,rank51_trajectory_guided_token_selection_full,,,,,,,,,,,,,,,1,1,0.3235243959099454,0.4634367645160083,0,0,False,Melanoma_5K
smoke,rank52_anatomy_prompt_replaced_token_full,,,,,,,,,,,,,,,1,1,0.3276849315214009,0.4246667279871883,0,0,False,Melanoma_5K
smoke,rank53_dapmae_domain_adapter_full,,,,,,,,,,,,,,,1,1,0.3182608248779968,0.4152837958678435,0,0,False,Melanoma_5K
smoke,rank54_conditional_multi_mask_full,,,,,,,,,,,,,,,1,1,0.27140492080022,0.3926748147684445,0,0,False,Melanoma_5K
smoke,rank55_multifacet_vae_uncertainty_full,,,,,,,,,,,,,,,1,1,0.1434742738092732,0.1925475656974456,0,0,False,Melanoma_5K
smoke,rank56_scinfovae_mi_zinb_full,,,,,,,,,,,,,,,1,1,0.4540980598567554,0.5956764652064527,0,0,False,Melanoma_5K
smoke,rank57_scvaeder_latent_diffusion_full,,,,,,,,,,,,,,,1,1,0.4801979703408532,0.6059604895918441,0,0,False,Melanoma_5K
smoke,rank58_fuzzy_rough_core_boundary_full,,,,,,,,,,,,,,,1,1,0.5686320920380057,0.6639449322081967,0,0,False,Melanoma_5K
