dataset,method,seed,k,n_rare,rare_recall,big_recall,macro_f1,ari
Limb_Muscle,genecompass,seed_3047,6,0,nan,0.7516245713255373,0.7254372265491081,0.7875963839235662
Limb_Muscle,genecompass,seed_3407,6,0,nan,0.7253475461361233,0.7031546296000997,0.7516962358114435
Limb_Muscle,genecompass,seed_42,6,0,nan,0.7253475461361233,0.7031546296000997,0.7516962358114435
Limb_Muscle,geneformer,seed_3047,6,0,nan,0.7516245713255373,0.7254372265491081,0.7875963839235662
Limb_Muscle,geneformer,seed_3407,6,0,nan,0.7253475461361233,0.7031546296000997,0.7516962358114435
Limb_Muscle,geneformer,seed_42,6,0,nan,0.7253475461361233,0.7031546296000997,0.7516962358114435
Limb_Muscle,leiden,seed_3047,6,0,nan,0.9734595722260195,0.9750577248259393,0.9807576372690171
Limb_Muscle,leiden,seed_3407,6,0,nan,0.7605547960811118,0.7434251497635472,0.7971940662886342
Limb_Muscle,leiden,seed_42,6,0,nan,0.9734595722260195,0.9749013032555868,0.9807029804165479
Limb_Muscle,louvain,seed_3047,6,0,nan,0.9734595722260195,0.9750577248259393,0.9807576372690171
Limb_Muscle,louvain,seed_3407,6,0,nan,0.7605547960811118,0.7434251497635472,0.7971940662886342
Limb_Muscle,louvain,seed_42,6,0,nan,0.9734595722260195,0.9749013032555868,0.9807029804165479
Limb_Muscle,pca_kmeans_known_k,seed_3047,6,0,nan,0.7670838628260793,0.7626823045907111,0.7326156241307766
Limb_Muscle,pca_kmeans_known_k,seed_3407,6,0,nan,0.9673859470041671,0.9707918995180984,0.9783841353436574
Limb_Muscle,pca_kmeans_known_k,seed_42,6,0,nan,0.7665427372849538,0.7630363829667237,0.7320504652472472
Limb_Muscle,sc3,seed_3047,6,0,nan,0.9617850243406211,0.9586768051032845,0.9538862877017245
Limb_Muscle,sc3,seed_3407,6,0,nan,0.7516245713255373,0.725330946399601,0.7872019645283702
Limb_Muscle,sc3,seed_42,6,0,nan,0.9622862774734532,0.9597766900508096,0.9562650971507122
Limb_Muscle,scanpy_standard,seed_3047,6,0,nan,0.7538741283048219,0.7269238186065472,0.7900487903918859
Limb_Muscle,scanpy_standard,seed_3407,6,0,nan,0.7538741283048219,0.7269238186065472,0.7900487903918859
Limb_Muscle,scanpy_standard,seed_42,6,0,nan,0.7538741283048219,0.7269238186065472,0.7900487903918859
Limb_Muscle,scdcc,seed_3047,6,0,nan,0.9674285420882279,0.9365712457065442,0.8744795705081188
Limb_Muscle,scdcc,seed_3407,6,0,nan,0.9912286217303823,0.9814031724666757,0.9623467713326518
Limb_Muscle,scdcc,seed_42,6,0,nan,0.9932837557464373,0.9928084540058396,0.988675692668217
Limb_Muscle,scdsc,seed_3047,6,0,nan,0.6436248787462062,0.5794203011433884,0.8158696455260704
Limb_Muscle,scdsc,seed_3407,6,0,nan,0.6262818036608807,0.5717111280331276,0.7431876836459137
Limb_Muscle,scdsc,seed_42,6,0,nan,0.624141511236523,0.5806478778473865,0.7461176538390325
Limb_Muscle,scmae,seed_3047,6,0,nan,0.9899725882348761,0.9902372881758534,0.9897474941051064
Limb_Muscle,scmae,seed_3407,6,0,nan,0.9869214640196127,0.9880488116919032,0.9884720345777994
Limb_Muscle,scmae,seed_42,6,0,nan,0.9926935341538595,0.9933042712061754,0.9893278757307394
Limb_Muscle,scname,seed_3047,6,0,nan,0.9826384468517372,0.9830001291164697,0.9852718447560629
Limb_Muscle,scname,seed_3407,6,0,nan,0.993556018309054,0.9937854350735712,0.9908185690068857
Limb_Muscle,scname,seed_42,6,0,nan,0.9636095407418694,0.9676051619524922,0.9755961999141365
Limb_Muscle,scvi,seed_3047,6,0,nan,0.7552467617271583,0.7397586745783188,0.761948305577904
Limb_Muscle,scvi,seed_3407,6,0,nan,0.9499714495387882,0.9460423261565909,0.9382739362465813
Limb_Muscle,scvi,seed_42,6,0,nan,0.9802047833534786,0.9797410241692948,0.9665919088478439
Limb_Muscle,sczidesk,seed_3047,6,0,nan,0.9829390846202198,0.9857160108406632,0.9847978714246313
Limb_Muscle,sczidesk,seed_3407,6,0,nan,0.9721172981434232,0.9756359057843881,0.98178881319561
Limb_Muscle,sczidesk,seed_42,6,0,nan,0.9789309899715378,0.9828607547878975,0.984237676956344
Macosko,dec,seed_3047,12,7,0.3526674434284493,0.5239358777944206,0.334068398979047,0.4734325623672291
Macosko,dec,seed_3407,12,7,0.2598762141672589,0.526229703030429,0.3111763411781924,0.5312667607687652
Macosko,dec,seed_42,12,7,0.26048400288805407,0.3656053436469608,0.22749961679955144,0.13469812125672137
Macosko,genecompass,seed_3047,12,7,0.15192012128234378,0.6454984075365757,0.3539096149732705,0.2148544255831114
Macosko,genecompass,seed_3407,12,7,0.15192012128234378,0.6463728946618936,0.3545429498875769,0.21477095044759317
Macosko,genecompass,seed_42,12,7,0.15192012128234378,0.6456884910632047,0.353903503747697,0.21473592910096384
Macosko,geneformer,seed_3407,12,7,0.15192012128234378,0.6463865001040705,0.3545491013816469,0.2147800374579813
Macosko,geneformer,seed_42,12,7,0.15192012128234378,0.6456884910632047,0.35390350261447856,0.21473346625017084
Macosko,leiden,seed_3047,12,7,0.4066526112932735,0.8666841507719892,0.5432783217518491,0.4892027007874393
Macosko,leiden,seed_3407,12,7,0.5352838316089288,0.8719689948658516,0.6788265050914505,0.8864726512948351
Macosko,leiden,seed_42,12,7,0.5479980383529862,0.8499117074516546,0.6742792536342735,0.504068765765928
Macosko,louvain,seed_3047,12,7,0.4066526112932735,0.8666841507719892,0.5432783217518491,0.4892027007874393
Macosko,louvain,seed_3407,12,7,0.5352838316089288,0.8719689948658516,0.6788265050914505,0.8864726512948351
Macosko,louvain,seed_42,12,7,0.5479980383529862,0.8499117074516546,0.6742792536342735,0.504068765765928
Macosko,pca_kmeans_known_k,seed_3047,12,7,0.5305987652108936,0.7759819556125356,0.6539118342809197,0.48638813044000123
Macosko,pca_kmeans_known_k,seed_3407,12,7,0.5305987652108936,0.7759819556125356,0.6539118342809197,0.48638813044000123
Macosko,pca_kmeans_known_k,seed_42,12,7,0.5305987652108936,0.7759819556125356,0.6539118342809197,0.48638813044000123
Macosko,sc3,seed_3047,12,7,0.14978792512029687,0.6418691103980688,0.35096302763986026,0.21415804279416664
Macosko,sc3,seed_3407,12,7,0.14978792512029687,0.6424451824242944,0.3515097359346328,0.21462427327918576
Macosko,sc3,seed_42,12,7,0.14978792512029687,0.6425702960535398,0.35152954551778137,0.21365315811832025
Macosko,scdcc,seed_3047,12,7,0.28732048374905517,0.6325263092464486,0.34573858479413283,0.3410269818951683
Macosko,scdcc,seed_3407,12,7,0.2869897959183673,0.6713009205980164,0.39755169679412333,0.31737723484708663
Macosko,scdcc,seed_42,12,7,0.2869897959183673,0.6943200222980621,0.4101841975659218,0.3247610869501847
Macosko,scmae,seed_3047,12,7,0.5591596340028548,0.6919166283861633,0.5712380275371235,0.3810948042168754
Macosko,scmae,seed_3407,12,7,0.40796980483735784,0.6347572976419901,0.477174291642995,0.3004399220468063
Macosko,scmae,seed_42,12,7,0.5403939768278787,0.7617544476159018,0.6584150933467487,0.39262433155009663
Macosko,scname,seed_3047,12,7,0.17320585779917272,0.6102764776861485,0.32751030476931126,0.22443470838851104
Macosko,scname,seed_42,12,7,0.21647854830157603,0.678782771382484,0.3665103575140755,0.23865030543657434
Macosko,scvi,seed_3047,12,7,0.14900483410611343,0.8325964127903808,0.3456647494614731,0.17909985018955116
Macosko,scvi,seed_3407,12,7,0.1446523053665911,0.8312763404888204,0.3471202040169635,0.18138137253906483
Macosko,scvi,seed_42,12,7,0.14611678004535147,0.7632656127353383,0.33265885894662284,0.17668136351999944
Macosko,sczidesk,seed_3047,12,7,0.34451766610458445,0.720632134336447,0.4792090325144928,0.27754445238025216
Macosko,sczidesk,seed_3407,12,7,0.2147452513343646,0.6014981840671101,0.33289797755500633,0.20794070226980702
Macosko,sczidesk,seed_42,12,7,0.19944741578223327,0.686321093476304,0.39785194854881295,0.23760451973961147
Melanoma_5K,attentionae_sc,seed_3047,9,3,0.3452380952380953,0.684906954447666,0.5107219914475702,0.557734701049031
Melanoma_5K,attentionae_sc,seed_3407,9,3,0.3398617511520738,0.5933373919049579,0.4105881901825917,0.4613782476496293
Melanoma_5K,attentionae_sc,seed_42,9,3,0.3404377880184332,0.6421540955786597,0.4617644710451644,0.5223593310700048
Melanoma_5K,dec,seed_3047,9,3,0.3333333333333333,0.5466212678977517,0.39433977259405717,0.2848878841012089
Melanoma_5K,dec,seed_3407,9,3,0.24404761904761904,0.4848508215974572,0.33018216097571595,0.20346397804210622
Melanoma_5K,dec,seed_42,9,3,0.3768115942028985,0.4182896175534272,0.29004521761283447,0.22172648868198894
Melanoma_5K,genecompass,seed_3047,9,3,0.6594202898550724,0.6678904802192919,0.5265873893982166,0.5686818810089966
Melanoma_5K,genecompass,seed_3407,9,3,0.6594202898550724,0.6683999797001517,0.5269835870712178,0.5677828284956729
Melanoma_5K,genecompass,seed_42,9,3,0.6594202898550724,0.6674087846508913,0.5260974580380448,0.5678470713208147
Melanoma_5K,geneformer,seed_3047,9,3,0.6594202898550724,0.6678904802192919,0.5265873893982166,0.5686818810089966
Melanoma_5K,geneformer,seed_3407,9,3,0.6594202898550724,0.6683999797001517,0.5269835870712178,0.5677828284956729
Melanoma_5K,geneformer,seed_42,9,3,0.6594202898550724,0.6674087846508913,0.5260974580380448,0.5678470713208147
Melanoma_5K,leiden,seed_3047,9,3,0.4838709677419355,0.5859460108820654,0.5068747524077796,0.4814014298992704
Melanoma_5K,leiden,seed_3407,9,3,0.6666666666666666,0.5244592625159928,0.5254470740977968,0.4840402719799877
Melanoma_5K,leiden,seed_42,9,3,0.5654761904761905,0.7809825425954043,0.6703374192147715,0.7318624190729587
Melanoma_5K,louvain,seed_3047,9,3,0.4838709677419355,0.5859460108820654,0.5068747524077796,0.4814014298992704
Melanoma_5K,louvain,seed_3407,9,3,0.6666666666666666,0.5244592625159928,0.5254470740977968,0.4840402719799877
Melanoma_5K,louvain,seed_42,9,3,0.5654761904761905,0.7809825425954043,0.6703374192147715,0.7318624190729587
Melanoma_5K,pca_kmeans_known_k,seed_3047,9,3,0.6666666666666666,0.7099201829321107,0.673229336769213,0.6964698621564437
Melanoma_5K,pca_kmeans_known_k,seed_3407,9,3,0.5654761904761905,0.6469138798072273,0.559813518944042,0.5686659732101368
Melanoma_5K,pca_kmeans_known_k,seed_42,9,3,0.5773809523809524,0.6277817514057352,0.553215131491593,0.5214486288699244
Melanoma_5K,sc3,seed_3047,9,3,0.6666666666666666,0.7193596182851657,0.6542572701248789,0.6347829010410545
Melanoma_5K,sc3,seed_3407,9,3,0.6594202898550724,0.6725717023836143,0.5302069820690075,0.5722558674992746
Melanoma_5K,sc3,seed_42,9,3,0.6594202898550724,0.6675124366998907,0.5261194503033189,0.567306258599033
Melanoma_5K,scanpy_standard,seed_3047,9,3,0.6594202898550724,0.6604472241986582,0.5222871924534238,0.5562260110183425
Melanoma_5K,scanpy_standard,seed_3407,9,3,0.6594202898550724,0.6604472241986582,0.5222871924534238,0.5562260110183425
Melanoma_5K,scanpy_standard,seed_42,9,3,0.6594202898550724,0.6604472241986582,0.5222871924534238,0.5562260110183425
Melanoma_5K,scdcc,seed_3047,9,3,0.6666666666666666,0.6618595685520677,0.5765369511924049,0.5083687401880299
Melanoma_5K,scdcc,seed_3407,9,3,0.3333333333333333,0.624672356388166,0.44240517429184417,0.45704819911455674
Melanoma_5K,scdcc,seed_42,9,3,0.3333333333333333,0.6887469525648795,0.47901426051514684,0.5194078296799834
Melanoma_5K,scmae,seed_3047,9,3,0.4838709677419355,0.7313723008069003,0.5627805332672305,0.657774949050143
Melanoma_5K,scmae,seed_3407,9,3,0.5161290322580645,0.7310959105395369,0.6270089967862764,0.6945524559296187
Melanoma_5K,scmae,seed_42,9,3,0.3333333333333333,0.7261211825232028,0.5556350973642503,0.6470586603438578
