dataset,seed,variant,source_variant,graph_enabled,tau,ari,nmi,acc,q_total
Quake_10x_Spleen,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.8493635212077368,0.7750838208006982,0.9539363484087102,0.7313700144493637
Quake_10x_Spleen,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.6365126071078092,0.5806326107380767,0.894891122278057,0.7492401445138424
Quake_Smart-seq2_Lung,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.6839688183964758,0.7432894297238285,0.6789976133651552,0.7945104608536903
Quake_Smart-seq2_Lung,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.6891986531070012,0.7497453626282528,0.6789976133651552,0.7944221526920506
Quake_Smart-seq2_Lung,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.686812709756784,0.7481178014163763,0.6784009546539379,0.7960698611083203
Shekhar,42,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.605655014019166,0.7945147522882621,0.682519567648155,0.6218584346082627
Shekhar,3047,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.8805270482360381,0.8575414220117258,0.8470741707044354,0.6195892046865341
Shekhar,3407,safe_rdg_calibrated_threshold,pca_kmeans,False,0.6984532276258257,0.86671597726755,0.854486051956075,0.8566530003727171,0.622502909493165
Tosches,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.6022994684334384,0.6597373576644254,0.655968709815688,0.7066102632165402
Tosches,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.6008693261792651,0.6609277359396305,0.6553793399057009,0.707641586846846
Tosches,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.535781983189506,0.676911259593729,0.6445563651950279,0.710432277412039
Wang,42,safe_rdg_calibrated_threshold,pca_kmeans,False,0.7052634123430593,0.7858779620945557,0.6931907552992126,0.9472633680008404,0.6984532276258257
Wang,3047,safe_rdg_calibrated_threshold,pca_kmeans,False,0.7052634123430593,0.9192749834614486,0.8390556876652767,0.9813005567811744,0.6984468781109772
Wang,3407,safe_rdg_calibrated_threshold,pca_kmeans,False,0.7052634123430593,0.9017862468606084,0.8130162668208292,0.9770984347095283,0.6982508803328891
Young,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.49032787271298484,0.6850848509387736,0.6689533861037819,0.7270139894214507
Young,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.5454235744543454,0.7029781005487384,0.6988566402814423,0.7405882995351125
Young,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.5028722053281717,0.6910013882493993,0.6772207563764292,0.7237944865693422
worm_neuron_cell,42,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.15526647465850382,0.4534249208286463,0.5076445293836598,0.7947103766478677
worm_neuron_cell,3047,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.20205556350670725,0.5047139144582169,0.5597228858098423,0.792601930473031
worm_neuron_cell,3407,safe_rdg_calibrated_threshold,rdg_always_on,True,0.6984532276258257,0.2108724407998285,0.5162437408941999,0.5661729574773053,0.7863487796814226
