dataset,method,seed,variant,backbone,use_adaptive_mask,use_prototype,use_swav,use_neighbormix,mask_mode,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,run_dir,elapsed_seconds,diag_effective_mask_rate,diag_embedding_variance_mean,diag_embedding_variance_min,diag_embedding_mean_cosine,diag_cluster_mass_max,diag_cluster_mass_min,diag_prototype_confidence_mean,diag_neighbor_reliability_mean,diag_neighbor_reliability_min,diag_neighbor_reliability_all_edge_mean,diag_neighbor_mutual_edge_fraction,diag_neighbor_reliable_edge_fraction,diag_neighbor_reliable_count_mean,diag_neighbor_reliable_count_min,diag_neighbor_score_mean,diag_neighbor_score_p25,diag_neighbor_score_p50,diag_neighbor_score_p75,diag_neighbor_similarity_mean,diag_neighbor_shared_score_mean,diag_neighbor_pseudo_confidence_mean,diag_neighbor_pseudo_same_cluster_edge_fraction,diag_neighbor_pseudo_same_cluster_reliable_fraction,diag_neighbor_consensus_hit_mean,diag_neighbor_adaptive_score_mean,diag_neighbor_adaptive_hit_mean,diag_neighbor_adaptive_core_edge_fraction,diag_neighbor_adaptive_strict_edge_fraction,diag_neighbor_boundary_confidence_mean,diag_neighbor_boundary_cell_fraction,diag_neighbor_boundary_rare_cell_fraction,diag_neighbor_boundary_protected_edge_fraction,diag_neighbor_boundary_kept_protected_edge_fraction,diag_neighbor_boundary_same_cluster_reliable_fraction
Melanoma_5K,scMAE_plus_consensus_graph_neighbormix,3407,010_consensus_graph_neighbormix_m3_a085,original_scmae,False,False,False,True,random,0.7374252160425437,0.7365994798526196,0.6639177510996973,0.6546303691004275,0.7305961152329279,0.7365994798526195,0.7660225200976915,0.7093531197989367,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/010_consensus_graph_neighbormix_m3_a085,43.3,0.040586160655532,0.411904871463775,0.163845121860504,0.669233202934265,0.260358959436416,0.016840239986777,,0.8609293103218071,0.6497008800506591,0.34650182723999,0.410370042100598,0.27038924588226604,4.055838584899902,0.0,0.8443643450737001,0.796860039234161,0.83790910243988,0.8925067782402031,0.978850364685058,0.505889117717742,0.0,0.0,0.0,3.0,,,,,,,,,,
Melanoma_5K,scMAE_plus_confidence_adaptive_neighbormix,3407,011_confidence_adaptive_neighbormix,original_scmae,False,False,False,True,random,0.7380899623310436,0.7366778361495312,0.664704347968735,0.6562871231676973,0.7312584640215375,0.736677836149531,0.7656911132293267,0.7097830077839337,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/011_confidence_adaptive_neighbormix,56.2,0.040586160655532,0.41601872444152804,0.162308916449546,0.669710338115692,0.26501217484474104,0.016397075727581003,,0.8617662191390991,0.6514924764633171,0.34732490777969305,0.411463180441687,0.29393603663490603,4.409040451049805,0.0,0.8441215157508851,0.796743392944335,0.837687671184539,0.8913170099258421,0.9787259697914121,0.5052248835563661,0.0,0.0,0.0,,0.8617662191390991,2.920896530151367,0.186010783662013,0.270684688677154,,,,,,
Melanoma_5K,scMAE_plus_confidence_adaptive_neighbormix,3407,011_confidence_adaptive_neighbormix_first_t084,original_scmae,False,False,False,True,random,0.7380899623310436,0.7366778361495312,0.664704347968735,0.6562871231676973,0.7312584640215375,0.736677836149531,0.7656911132293267,0.7097830077839337,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/011_confidence_adaptive_neighbormix_first_t084,46.7,0.040586160655532,0.41601872444152804,0.162308916449546,0.669710338115692,0.26501217484474104,0.016397075727581003,,0.8617662191390991,0.6514924764633171,0.34732490777969305,0.411463180441687,0.29393603663490603,4.409040451049805,0.0,0.8441215157508851,0.796743392944335,0.837687671184539,0.8913170099258421,0.9787259697914121,0.5052248835563661,0.0,0.0,0.0,,0.8617662191390991,2.920896530151367,0.186010783662013,0.270684688677154,,,,,,
Melanoma_5K,scMAE_plus_confidence_adaptive_neighbormix,3407,011_confidence_adaptive_neighbormix_first_t080,original_scmae,False,False,False,True,random,0.7369820518502105,0.7362792976020095,0.6627727397286048,0.6530451279719833,0.7296795720855548,0.7362792976020094,0.7657215312644647,0.7090173572609287,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/011_confidence_adaptive_neighbormix_first_t080,48.3,0.040586160655532,0.41813123226165705,0.162842363119125,0.6699897050857541,0.26323953270912104,0.017283404245972002,,0.8587592840194701,0.6510124802589411,0.34622123837471,0.41025186498264204,0.31633060048748,4.744958877563477,0.0,0.843923687934875,0.796760201454162,0.8376554250717161,0.8911741971969601,0.9785403609275811,0.50478184223175,0.0,0.0,0.0,,0.8587592840194701,2.85047173500061,0.273373218110643,0.269030209025777,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_start30,original_scmae,False,False,False,True,random,0.7380899623310436,0.7377038363263689,0.6647082092257874,0.6554928444532293,0.731249128425466,0.7377038363263689,0.7670491251692042,0.7105211592801965,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_start30,45.7,0.040433705491679,0.429305613040924,0.17078012228012002,0.6641545891761781,0.26501217484474104,0.017283404245972002,,0.8440524339675901,0.622525095939636,0.342932552099227,0.40629293153113205,0.40629293153113205,6.094394207000732,0.0,0.8440524339675901,0.7971310615539551,0.837772846221923,0.8904428482055661,0.9785983562469481,0.505143523216247,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_start25,original_scmae,False,False,False,True,random,0.7367604697540439,0.7358480432012348,0.6613433566108742,0.6542617705419148,0.7285285839991925,0.7358480432012349,0.7650709576398464,0.7087754128282721,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_start25,56.7,0.040645758914096004,0.424941837787628,0.16915988922119102,0.6667844653129571,0.262574791908264,0.017726568505167,,0.845219790935516,0.603245139122009,0.345704197883605,0.40901100524410905,0.40901100524410905,6.135165214538574,0.0,0.845219790935516,0.797568202018737,0.8379639387130731,0.892422020435333,0.9798535704612731,0.507570087909698,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_start35,original_scmae,False,False,False,True,random,0.7383115444272103,0.7368774897443301,0.6646622298536006,0.6606017199484006,0.7312232426242826,0.7368774897443302,0.765552526745364,0.7102730375090328,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_start35,48.6,0.040511160876069006,0.430082201957702,0.17578545212745603,0.664401054382324,0.26479059457778903,0.014846000820398001,,0.8446722626686091,0.5825423598289491,0.344781517982482,0.40818376541842005,0.40818376541842005,6.122756481170654,0.0,0.8446722626686091,0.7972998619079591,0.837914228439331,0.891356945037841,0.9800588488578791,0.505505681037902,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_start29,original_scmae,False,False,False,True,random,0.7352093950808775,0.7331298168768404,0.6589638927458799,0.6526939284240033,0.7265819293056762,0.7331298168768404,0.7625757935128593,0.7058733395013935,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_start29,46.4,0.040559598271335005,0.42359948158264105,0.17192594707012102,0.6671622395515441,0.26146686077117903,0.017283404245972002,,0.844220757484436,0.5633859634399411,0.343350172042846,0.40670655144397605,0.40670655144397605,6.100598335266113,0.0,0.844220757484436,0.7970896363258361,0.8378467559814451,0.8914746642112731,0.978681206703186,0.5056080222129821,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_neighbormix,3407,004_neighbormix_start40,original_scmae,False,False,False,True,random,0.7341014846000443,0.7248180194642362,0.6564220029231732,0.6436798726582962,0.7245924212299582,0.7248180194642362,0.7513910856589341,0.7000602755959084,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/004_neighbormix_start40,48.1,0.040461160881178,0.429014384746551,0.169470861554145,0.6658309698104851,0.26567694544792103,0.010857522487640001,,0.844445347785949,0.545279264450073,0.342767894268035,0.40590885589777603,0.40590885589777603,6.088633060455322,0.0,0.844445347785949,0.7973144054412841,0.837584316730499,0.8912602663040161,0.9784462451934811,0.506630778312683,0.0,0.0,0.0,,,,,,,,,,,
Melanoma_5K,scMAE_plus_boundary_protected_neighbormix,3407,012_boundary_protected_neighbormix,original_scmae,False,False,False,True,random,0.7372036339463771,0.7371211759400044,0.6628782495337899,0.655510133626001,0.7297674109716494,0.7371211759400043,0.7662634069488575,0.7101143827194824,9,,fixed,kmeans_known_k,True,/tmp/scmae_plus_screen_80_20260630/screen/Melanoma_5K/seed3407/012_boundary_protected_neighbormix,56.0,0.040433705491679,0.421924710273742,0.17110501229763,0.6663293242454521,0.259694218635559,0.017061822116374,,0.8505031466484071,0.684957861900329,0.344231247901916,0.407592879828643,0.360912918236206,5.413693904876709,0.0,0.8445467948913571,0.797581851482391,0.8379740715026851,0.890687465667724,0.97892290353775,0.5064125061035151,0.44228899478912304,0.9761525079733251,0.9999181401440731,,,,,,0.44228899478912304,0.200088632838466,0.13804564591181,0.15555063150897402,0.108870669916537,0.9999181401440731
