dataset,group,seed,method,ari,nmi,acc,f1_macro,delta_ari_vs_nomix,delta_f1_vs_nomix,run_dir
Melanoma_5K,positive,1,nm_scmae_nomix,0.6606235067505558,0.7324353866409977,0.7358741413693773,0.653429330393209,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/nm_scmae_nomix/seed1
Melanoma_5K,positive,1,random_beta_uniform_0.1,0.7579288397856164,0.7629319934302364,0.8393529802791935,0.6834516053615586,0.09730533303506061,0.030022274968349527,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_beta_uniform_0.1/seed1
Melanoma_5K,positive,1,random_edge_dropout_keep0.5,0.6609418934798199,0.730010282499833,0.7356525592732107,0.6530652001204613,0.0003183867292640974,-0.00036413027274773135,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_edge_dropout_keep0.5/seed1
Melanoma_5K,positive,1,random_pseudo_gate_p0.5,0.6588973572619466,0.7272290815752291,0.7341014846000443,0.6492673797894224,-0.0017261494886091633,-0.004161950603786657,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_pseudo_gate_p0.5/seed1
Melanoma_5K,positive,1,snn_neighbormix,0.6585471607341504,0.7213789527970443,0.7232439618878794,0.5266687643166059,-0.0020763460164053837,-0.12676056607660313,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/snn_neighbormix/seed1
Melanoma_5K,positive,2,consensus_neighbormix_threshold0.4,0.6624532561227346,0.7344523061958866,0.7358741413693773,0.6505038279640156,-0.0005291206302178164,0.0012674602288159642,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/consensus_neighbormix_threshold0.4/seed2
Melanoma_5K,positive,2,global_random_neighbor_control,0.6579294293488366,0.7324668867832551,0.7345446487923776,0.649529702124003,-0.005052947404115882,0.0002933343888033013,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/global_random_neighbor_control/seed2
Melanoma_5K,positive,2,mutual_knn_neighbormix,0.6623150811518607,0.7321684862940887,0.7354309771770441,0.6486666709621562,-0.0006672956010917996,-0.0005696967730434155,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/mutual_knn_neighbormix/seed2
Melanoma_5K,positive,2,neighbormix_scmae,0.6653686873476252,0.7346901274822326,0.7367604697540439,0.6493684009149558,0.002386310594672758,0.00013203317975618578,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/neighbormix_scmae/seed2
Melanoma_5K,positive,2,nm_scmae_nomix,0.6629823767529525,0.732759177503414,0.736095723465544,0.6492363677351997,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/nm_scmae_nomix/seed2
Melanoma_5K,positive,2,random_beta_uniform_0.1,0.6595564377199592,0.7330669342854556,0.7349878129847108,0.6506056480425438,-0.0034259390329932637,0.0013692803073441784,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_beta_uniform_0.1/seed2
Melanoma_5K,positive,2,random_edge_dropout_keep0.5,0.662238780327689,0.7325326341770418,0.7354309771770441,0.6485103873989413,-0.0007435964252634486,-0.0007259803362583694,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_edge_dropout_keep0.5/seed2
Melanoma_5K,positive,2,random_pseudo_gate_p0.5,0.663281303586982,0.7329986113833087,0.7358741413693773,0.6493427034102905,0.0002989268340295448,0.00010633567509088504,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/random_pseudo_gate_p0.5/seed2
Melanoma_5K,positive,2,snn_neighbormix,0.6588176285483427,0.7242074761681234,0.7347662308885442,0.6307522872653443,-0.0041647482046097695,-0.01848408046985539,results/experiments/neighbormix_stochastic_regularization_20260616/Melanoma_5K/snn_neighbormix/seed2
Pollen,optional,0,consensus_neighbormix_threshold0.4,0.9137692072314514,0.926448002658096,0.8803986710963455,0.7708850289495449,-0.0008839120934062139,-0.00045314052105238645,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/consensus_neighbormix_threshold0.4/seed0
Pollen,optional,0,global_random_neighbor_control,0.90217305672212,0.9205413170394326,0.8870431893687708,0.7388609414301114,-0.012480062602737596,-0.03247722804048592,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/global_random_neighbor_control/seed0
Pollen,optional,0,mutual_knn_neighbormix,0.905287513612575,0.9237620871160372,0.8770764119601329,0.7673841881281301,-0.00936560571228262,-0.003953981342467161,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/mutual_knn_neighbormix/seed0
Pollen,optional,0,neighbormix_scmae,0.905287513612575,0.9237620871160372,0.8770764119601329,0.7673841881281301,-0.00936560571228262,-0.003953981342467161,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/neighbormix_scmae/seed0
Pollen,optional,0,nm_scmae_nomix,0.9146531193248576,0.923504310148831,0.8903654485049833,0.7713381694705973,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/nm_scmae_nomix/seed0
Pollen,optional,0,random_beta_uniform_0.1,0.9127735023000468,0.9230849297503116,0.8903654485049833,0.7780303030303031,-0.0018796170248107646,0.006692133559705771,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_beta_uniform_0.1/seed0
Pollen,optional,0,random_edge_dropout_keep0.5,0.9052226130045654,0.9200309943627836,0.8704318936877077,0.7369146005509641,-0.009430506320292187,-0.03442356891963316,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_edge_dropout_keep0.5/seed0
Pollen,optional,0,random_pseudo_gate_p0.5,0.9066337627120872,0.9166312211377704,0.8704318936877077,0.7383365457819887,-0.008019356612770423,-0.033001623688608595,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_pseudo_gate_p0.5/seed0
Pollen,optional,0,snn_neighbormix,0.9116191252924276,0.9199855131550078,0.8870431893687708,0.7719850590663988,-0.0030339940324299874,0.0006468895958015031,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/snn_neighbormix/seed0
Pollen,optional,1,consensus_neighbormix_threshold0.4,0.9079614013909724,0.9278341875956972,0.8770764119601329,0.7541862550789209,-0.006988873996823797,-0.0014796476458054375,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/consensus_neighbormix_threshold0.4/seed1
Pollen,optional,1,global_random_neighbor_control,0.9109989315735116,0.9313830681818762,0.8837209302325582,0.7496776648136797,-0.003951343814284525,-0.005988237911046634,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/global_random_neighbor_control/seed1
Pollen,optional,1,mutual_knn_neighbormix,0.9138880051999057,0.929694673521832,0.8803986710963455,0.761938061938062,-0.0010622701878905128,0.006272159213335682,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/mutual_knn_neighbormix/seed1
Pollen,optional,1,neighbormix_scmae,0.9079614013909724,0.9278341875956972,0.8770764119601329,0.7541862550789209,-0.006988873996823797,-0.0014796476458054375,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/neighbormix_scmae/seed1
Pollen,optional,1,nm_scmae_nomix,0.9149502753877962,0.9238157738046444,0.8737541528239202,0.7556659027247263,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/nm_scmae_nomix/seed1
Pollen,optional,1,random_beta_uniform_0.1,0.9192071685633736,0.9313937964016326,0.8837209302325582,0.7592818945760123,0.004256893175577425,0.0036159918512859157,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_beta_uniform_0.1/seed1
Pollen,optional,1,random_edge_dropout_keep0.5,0.9124780541450864,0.9322659309252578,0.8803986710963455,0.7652499016135379,-0.002472221242709738,0.009583998888811562,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_edge_dropout_keep0.5/seed1
Pollen,optional,1,random_pseudo_gate_p0.5,0.9038963034575948,0.9225249205956334,0.8770764119601329,0.7363969363969364,-0.011053971930201412,-0.01926896632778996,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_pseudo_gate_p0.5/seed1
Pollen,optional,1,snn_neighbormix,0.9226069311912568,0.9367542433126528,0.903654485049834,0.7767776064113466,0.0076566558034606436,0.021111703686620298,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/snn_neighbormix/seed1
Pollen,optional,2,consensus_neighbormix_threshold0.4,0.906905112596266,0.9132732364121884,0.8737541528239202,0.7542418881428169,-0.0037021278493499787,0.00670334944574158,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/consensus_neighbormix_threshold0.4/seed2
Pollen,optional,2,global_random_neighbor_control,0.9101471879010125,0.9276634571151922,0.8803986710963455,0.7473435655253837,-0.00046005254460357303,-0.00019497317169159256,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/global_random_neighbor_control/seed2
Pollen,optional,2,mutual_knn_neighbormix,0.9132805280483364,0.921540383193948,0.8870431893687708,0.7807002394768351,0.0026732876027203423,0.03316170077975977,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/mutual_knn_neighbormix/seed2
Pollen,optional,2,neighbormix_scmae,0.9106583361832092,0.917703765587354,0.8870431893687708,0.7808794466403163,5.1095737593209734e-05,0.03334090794324096,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/neighbormix_scmae/seed2
Pollen,optional,2,nm_scmae_nomix,0.910607240445616,0.9195521622173656,0.8637873754152824,0.7475385386970753,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/nm_scmae_nomix/seed2
Pollen,optional,2,random_beta_uniform_0.1,0.902585506212634,0.919320447130934,0.8704318936877077,0.7330172763576569,-0.008021734232982025,-0.014521262339418417,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_beta_uniform_0.1/seed2
Pollen,optional,2,random_edge_dropout_keep0.5,0.9155695371821708,0.9293745131527692,0.8970099667774086,0.7562937062937063,0.004962296736554794,0.008755167596630975,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_edge_dropout_keep0.5/seed2
Pollen,optional,2,random_pseudo_gate_p0.5,0.899031053107319,0.9147060412051649,0.8737541528239202,0.7540038128273422,-0.011576187338297017,0.006465274130266874,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_pseudo_gate_p0.5/seed2
