dataset,seed,method,effective_neighbor_count,edge_keep_rate,pseudo_branch_activation_rate,perturbation_norm_mean,perturbation_norm_p95,neighbor_similarity_mean,neighbor_similarity_std,mutual_ratio,snn_mean,snn_std,consensus_mean,consensus_std,fallback_rate,hubness_p95,hubness_max,same_label_edge_ratio,same_label_edge_ratio_weighted,minority_class_neighbor_purity,run_dir
Pollen,0,mutual_knn_neighbormix,3.975725512428588,1.0,1.0,2.562228626012802,6.779478418827057,0.8200443387031555,0.2442068755626678,0.3707641196013289,0.245298758149147,0.1587735563516616,0.3707641065120697,0.4830093681812286,0.6292358803986711,17.0,31.0,0.8897009966777408,0.8924514651298523,0.7818400859832764,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/mutual_knn_neighbormix/seed0
Pollen,1,mutual_knn_neighbormix,3.976696573496017,1.0,1.0,2.5632050722837447,6.790068459510803,0.8187931776046753,0.2451605498790741,0.3720930232558139,0.2472973763942718,0.1640246212482452,0.3720930218696594,0.4833630323410034,0.627906976744186,15.0,33.0,0.891029900332226,0.8935224413871765,0.7860180884599686,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/mutual_knn_neighbormix/seed1
Pollen,2,mutual_knn_neighbormix,3.9783108997929744,1.0,1.0,2.5503299295902253,6.730838561058045,0.8189609050750732,0.2462056279182434,0.3667774086378738,0.2456362545490265,0.1657811850309372,0.3667774200439453,0.4819250702857971,0.6332225913621262,17.0,31.0,0.8916943521594685,0.8931140303611755,0.7822647169232368,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/mutual_knn_neighbormix/seed2
Pollen,0,neighbormix_scmae,3.975699385887667,1.0,1.0,2.5618724286556245,6.779478418827057,0.8200443387031555,0.244206890463829,0.3707641196013289,0.245298758149147,0.1587735414505005,1.0,0.0,0.0,17.0,31.0,0.8897009966777408,0.8924514651298523,0.7818401008844376,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/neighbormix_scmae/seed0
Pollen,1,neighbormix_scmae,3.976741433567997,1.0,1.0,2.563192576169968,6.789442622661591,0.8187931776046753,0.2451605498790741,0.3720930232558139,0.2472973763942718,0.1640246212482452,1.0,0.0,0.0,15.0,33.0,0.891029900332226,0.8935224413871765,0.7860180884599686,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/neighbormix_scmae/seed1
Pollen,2,neighbormix_scmae,3.978328870118282,1.0,1.0,2.550210806727409,6.732338190078735,0.8189609050750732,0.2462056428194046,0.3667774086378738,0.2456362545490265,0.1657811850309372,1.0,0.0,0.0,17.0,31.0,0.8916943521594685,0.8931140303611755,0.7822647169232368,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/neighbormix_scmae/seed2
Pollen,0,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/nm_scmae_nomix/seed0
Pollen,1,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/nm_scmae_nomix/seed1
Pollen,2,nm_scmae_nomix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/nm_scmae_nomix/seed2
Pollen,0,random_beta_uniform_0.1,3.9762083483527952,1.0,1.0,1.278718338906765,3.922634226083756,0.8200443387031555,0.244206890463829,0.3707641196013289,0.245298758149147,0.1587735414505005,1.0,0.0,0.0,17.0,31.0,0.8897009966777408,0.8924514651298523,0.7818401008844376,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_beta_uniform_0.1/seed0
Pollen,1,random_beta_uniform_0.1,3.9766230133684006,1.0,1.0,1.2831517830491066,3.9756437301635743,0.8187931776046753,0.2451605498790741,0.3720930232558139,0.2472973763942718,0.1640246212482452,1.0,0.0,0.0,15.0,33.0,0.891029900332226,0.8935224413871765,0.7860180884599686,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_beta_uniform_0.1/seed1
Pollen,2,random_beta_uniform_0.1,3.9777544511959406,1.0,1.0,1.2827594980597496,3.912670999765396,0.8189609050750732,0.2462056428194046,0.3667774086378738,0.2456362545490265,0.1657811850309372,1.0,0.0,0.0,17.0,31.0,0.8916943521594685,0.8931140303611755,0.7822647169232368,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_beta_uniform_0.1/seed2
Pollen,0,random_edge_dropout_keep0.5,3.9871145192684194,0.5056640625,1.0,2.7051621288061143,6.96765506863594,0.8200443387031555,0.244206890463829,0.3707641196013289,0.245298758149147,0.1587735414505005,1.0,0.0,0.0,17.0,31.0,0.8897009966777408,0.8924514651298523,0.7818401008844376,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_edge_dropout_keep0.5/seed0
Pollen,1,random_edge_dropout_keep0.5,3.9870611701312177,0.50751953125,1.0,2.7032828360795973,6.968754702806473,0.8187931776046753,0.2451605498790741,0.3720930232558139,0.2472973763942718,0.1640246212482452,1.0,0.0,0.0,15.0,33.0,0.891029900332226,0.8935224413871765,0.7860180884599686,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_edge_dropout_keep0.5/seed1
Pollen,2,random_edge_dropout_keep0.5,3.987983546931872,0.5084570312500001,1.0,2.688908705115318,6.90438112616539,0.8189609050750732,0.2462056428194046,0.3667774086378738,0.2456362545490265,0.1657811850309372,1.0,0.0,0.0,17.0,31.0,0.8916943521594685,0.8931140303611755,0.7822647169232368,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_edge_dropout_keep0.5/seed2
Pollen,0,random_pseudo_gate_p0.5,3.9762083483527952,1.0,0.503662109375,2.5622589886188507,6.776113337278366,0.8200443387031555,0.244206890463829,0.3707641196013289,0.245298758149147,0.1587735414505005,1.0,0.0,0.0,17.0,31.0,0.8897009966777408,0.8924514651298523,0.7818401008844376,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_pseudo_gate_p0.5/seed0
Pollen,1,random_pseudo_gate_p0.5,3.9766230133684006,1.0,0.50087890625,2.5626985371112823,6.778486531972885,0.8187931776046753,0.2451605498790741,0.3720930232558139,0.2472973763942718,0.1640246212482452,1.0,0.0,0.0,15.0,33.0,0.891029900332226,0.8935224413871765,0.7860180884599686,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_pseudo_gate_p0.5/seed1
Pollen,2,random_pseudo_gate_p0.5,3.9777544511959406,1.0,0.498681640625,2.5505377858877183,6.728699678182602,0.8189609050750732,0.2462056428194046,0.3667774086378738,0.2456362545490265,0.1657811850309372,1.0,0.0,0.0,17.0,31.0,0.8916943521594685,0.8931140303611755,0.7822647169232368,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/random_pseudo_gate_p0.5/seed2
Pollen,0,snn_neighbormix,3.8479752691357616,1.0,1.0,2.623592844605446,6.900944650173187,0.8200443387031555,0.244206890463829,0.3707641196013289,0.245298758149147,0.1587735414505005,0.245298758149147,0.1587735414505005,0.0066445182724252,17.0,31.0,0.8897009966777408,0.8981582522392273,0.7974549606442451,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/snn_neighbormix/seed0
Pollen,1,snn_neighbormix,3.851403719338791,1.0,1.0,2.63597885966301,7.066772019863128,0.8187931776046753,0.2451605498790741,0.3720930232558139,0.2472973763942718,0.1640246212482452,0.2472973763942718,0.1640246212482452,0.0066445182724252,15.0,33.0,0.891029900332226,0.9005032777786255,0.8065457418560982,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/snn_neighbormix/seed1
Pollen,2,snn_neighbormix,3.8502749662472175,1.0,1.0,2.623172292113304,6.842611747980118,0.8189609050750732,0.2462056428194046,0.3667774086378738,0.2456362545490265,0.1657811850309372,0.2456362545490265,0.1657811850309372,0.0033222591362126,17.0,31.0,0.8916943521594685,0.8995121121406555,0.8148761093616486,results/experiments/neighbormix_stochastic_regularization_20260616/Pollen/snn_neighbormix/seed2
Shekhar,0,consensus_neighbormix_threshold0.4,3.870971606391406,1.0,1.0,2.9418003580891168,5.191817040569507,0.8720787167549133,0.063130997121334,0.2195303764442787,0.0812461227178573,0.1126731559634208,0.4577517509460449,0.1863115578889846,0.2130301900857249,18.0,106.0,0.972933283637719,0.973533570766449,0.9454497456550598,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/consensus_neighbormix_threshold0.4/seed0
Shekhar,1,consensus_neighbormix_threshold0.4,3.871046169912996,1.0,1.0,2.942208800035027,5.192779437509867,0.8720787167549133,0.063130997121334,0.2195303764442787,0.0812461227178573,0.1126731559634208,0.4577517509460449,0.1863115578889846,0.2130301900857249,18.0,106.0,0.972933283637719,0.973533570766449,0.9454497456550598,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/consensus_neighbormix_threshold0.4/seed1
Shekhar,2,consensus_neighbormix_threshold0.4,3.8711331797550574,1.0,1.0,2.941996961258925,5.192537164229613,0.8720787167549133,0.063130997121334,0.2195303764442787,0.0812461227178573,0.1126731559634208,0.4577517509460449,0.1863115578889846,0.2130301900857249,18.0,106.0,0.972933283637719,0.973533570766449,0.9454497456550598,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/consensus_neighbormix_threshold0.4/seed2
Shekhar,0,global_random_neighbor_control,4.000000015237233,1.0,1.0,3.5668495265910254,5.760098188427778,0.0684579387307167,0.3351857364177704,0.0002385389489377,8.862384856911376e-05,0.0031367561314255,0.0,0.0,0.0,9.0,18.0,0.2006783451360417,0.2006783187389373,0.0099688729271292,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/global_random_neighbor_control/seed0
Shekhar,1,global_random_neighbor_control,4.000000015237233,1.0,1.0,3.567612894509847,5.7603778147353575,0.0674121007323265,0.3342320024967193,0.000149086843086,7.537168130511418e-05,0.0028929139953106,0.0,0.0,0.0,9.0,17.0,0.1981811405143496,0.1981811225414276,0.0081688445992767,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/global_random_neighbor_control/seed1
Shekhar,2,global_random_neighbor_control,4.000000015237233,1.0,1.0,3.5650052536565524,5.759987283326113,0.069454088807106,0.3348840773105621,0.0001341781587774,8.282603084808215e-05,0.0030324955005198,0.0,0.0,0.0,9.0,18.0,0.2010361535594483,0.2010361105203628,0.0085285802371799,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/global_random_neighbor_control/seed2
Shekhar,0,mutual_knn_neighbormix,3.993102839175001,1.0,1.0,2.910369989419213,5.123593335827955,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705780625343,0.218934029340744,0.41352379322052,0.7810659709280656,18.0,106.0,0.9728960119269474,0.9732828140258788,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/mutual_knn_neighbormix/seed0
Shekhar,1,mutual_knn_neighbormix,3.9931218043798657,1.0,1.0,2.910729299227779,5.125705269036385,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705780625343,0.218934029340744,0.41352379322052,0.7810659709280656,18.0,106.0,0.9728960119269474,0.9732828140258788,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/mutual_knn_neighbormix/seed1
Shekhar,2,mutual_knn_neighbormix,3.99311073704852,1.0,1.0,2.9105383599893404,5.1243543123969655,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705780625343,0.218934029340744,0.41352379322052,0.7810659709280656,18.0,106.0,0.9728960119269474,0.9732828140258788,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/mutual_knn_neighbormix/seed2
Shekhar,0,neighbormix_scmae,3.99309948939806,1.0,1.0,2.91038169757678,5.123153542899169,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/neighbormix_scmae/seed0
Shekhar,1,neighbormix_scmae,3.993122443156911,1.0,1.0,2.910810473790536,5.124689754098654,0.8721168041229248,0.0630894154310226,0.2189340290719344,0.0812448486685752,0.1126705706119537,1.0,0.0,0.0,18.0,106.0,0.9728960119269474,0.973282754421234,0.9436135530471802,results/experiments/neighbormix_stochastic_regularization_20260616/Shekhar/neighbormix_scmae/seed1
