stage,method,dataset,seed,acc,nmi,ari,f1_macro,baseline_nmi,baseline_ari,meets_baseline_any,collapse_warning,embedding_variance,neighbor_purity_proxy,mixed_cell_fraction,run_dir
screen,rank11_scmamba_module_sequence_full,Quake_10x_Spleen,42,0.7325167504187605,0.6784389102887028,0.5149975354093287,0.7057179576106047,0.85173,0.922275,False,False,0.02153351530432701,0.9868090452261307,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank11_scmamba_module_sequence_full/Quake_10x_Spleen/seed42
screen,rank11_scmamba_module_sequence_full,Macosko,42,0.3620558828780575,0.4769835309231725,0.20976107108376332,0.3083189605755004,0.657465,0.494268,False,False,0.03397928178310394,0.9314430458846634,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank11_scmamba_module_sequence_full/Macosko/seed42
smoke,rank13_masked_sc_cluster_target_full,Melanoma_5K,42,0.7130511854642145,0.6909737690720631,0.5916736215165294,0.6262715103447263,0.735414,0.668029,False,False,0.020739136263728142,0.8345668070019943,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank13_masked_sc_cluster_target_full/Melanoma_5K/seed42
screen,rank13_masked_sc_cluster_target_full,Melanoma_5K,42,0.7270108575227122,0.7272207222544056,0.6524852605139382,0.6395188409970414,0.735414,0.668029,False,False,0.5074560642242432,0.8382007533791269,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Melanoma_5K/seed42
screen,rank13_masked_sc_cluster_target_full,Quake_10x_Spleen,42,0.9521566164154104,0.8312093675337995,0.9118332687600418,0.7129179736146958,0.85173,0.922275,False,False,0.6475421190261841,0.9675460636515912,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Quake_10x_Spleen/seed42
screen,rank13_masked_sc_cluster_target_full,Macosko,42,0.5057355829316194,0.5970594168112139,0.3434417219422049,0.4340177471091955,0.657465,0.494268,False,False,0.8010244965553284,0.9353240492769148,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Macosko/seed42
screen,rank13_masked_sc_cluster_target_full,Melanoma_5K,42,0.728340350099712,0.7213612797145416,0.6431749886237577,0.6417441065927313,0.735414,0.668029,False,False,0.4417526125907898,0.8314646576556615,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Melanoma_5K/seed42_tuned_w30_cw012
screen,rank13_masked_sc_cluster_target_full,Quake_10x_Spleen,42,0.9580192629815746,0.8542704987931056,0.9253616405243048,0.726879743689826,0.85173,0.922275,True,False,0.40043771266937256,0.9730946398659966,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Quake_10x_Spleen/seed42_tuned_w30_cw012
screen,rank13_masked_sc_cluster_target_full,Melanoma_5K,42,0.7174828273875471,0.7007528947999896,0.5981059212155103,0.6507776458218805,0.735414,0.668029,False,False,0.05379348620772362,0.8729226678484379,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Melanoma_5K/seed42_warmuponly_m04
screen,rank13_masked_sc_cluster_target_full,Melanoma_5K,42,0.7256813649457123,0.7201052701790879,0.6366656563551032,0.6411399564464807,0.735414,0.668029,False,False,0.24981574714183807,0.8285619321958786,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank13_masked_sc_cluster_target_full/Melanoma_5K/seed42_h256_w30_cw012
smoke,rank14_cicl_cluster_aware_contrast_full,Melanoma_5K,42,0.6518945269222247,0.6612697190311173,0.5526335428635968,0.5102833926127668,0.735414,0.668029,False,False,0.021114449948072433,0.8269665411034789,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank14_cicl_cluster_aware_contrast_full/Melanoma_5K/seed42
screen,rank14_cicl_cluster_aware_contrast_full,Melanoma_5K,42,0.5672501661865721,0.6203705589566956,0.46064425578878687,0.48569230755111054,0.735414,0.668029,False,False,0.15985457599163055,0.8471748282738755,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank14_cicl_cluster_aware_contrast_full/Melanoma_5K/seed42
screen,rank14_cicl_cluster_aware_contrast_full,Quake_10x_Spleen,42,0.667608877721943,0.6285092946900258,0.47156621310287955,0.6444764957204875,0.85173,0.922275,False,False,0.2043532431125641,0.983500837520938,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank14_cicl_cluster_aware_contrast_full/Quake_10x_Spleen/seed42
screen,rank14_cicl_cluster_aware_contrast_full,Macosko,42,0.40390108909123373,0.5069379963848146,0.2187559379322795,0.3996761192971348,0.657465,0.494268,False,False,0.24199455976486206,0.9369398321728263,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank14_cicl_cluster_aware_contrast_full/Macosko/seed42
smoke,rank15_scagc_adaptive_graph_full,Melanoma_5K,42,0.6545535120762243,0.6372308171573636,0.5384509136201059,0.5196455844540245,0.735414,0.668029,False,False,0.02403152734041214,0.8264790604919122,0.4463848039215686,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank15_scagc_adaptive_graph_full/Melanoma_5K/seed42
screen,rank15_scagc_adaptive_graph_full,Melanoma_5K,42,0.5360070906270773,0.5117617159759753,0.3705859963783395,0.4887320959126618,0.735414,0.668029,False,False,0.00027223466895520687,0.7580101927764237,0.44353170955882354,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank15_scagc_adaptive_graph_full/Melanoma_5K/seed42
screen,rank15_scagc_adaptive_graph_full,Quake_10x_Spleen,42,0.8860971524288107,0.6186284696821258,0.8211605163769456,0.5528350047661894,0.85173,0.922275,False,False,0.6225864291191101,0.9549204355108878,0.47650839315878385,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank15_scagc_adaptive_graph_full/Quake_10x_Spleen/seed42
smoke,rank18_beit_gene_token_full,Melanoma_5K,42,0.6385996011522269,0.6256734136639087,0.512706850218477,0.5061840040916451,0.735414,0.668029,False,False,0.02238892763853073,0.7951251938843341,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank18_beit_gene_token_full/Melanoma_5K/seed42
screen,rank18_beit_gene_token_full,Melanoma_5K,42,0.6809217815200532,0.6928178976586518,0.6013373024358384,0.5080511919340711,0.735414,0.668029,False,False,0.18116849660873413,0.8871925548415688,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank18_beit_gene_token_full/Melanoma_5K/seed42
screen,rank18_beit_gene_token_full,Quake_10x_Spleen,42,0.7361809045226131,0.6914077814497275,0.5178935080226177,0.7181686854978298,0.85173,0.922275,False,False,0.17646999657154083,0.9918655778894472,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank18_beit_gene_token_full/Quake_10x_Spleen/seed42
screen,rank18_beit_gene_token_full,Macosko,42,0.440055347259418,0.5621111661653556,0.2967852610498912,0.37481131498378245,0.657465,0.494268,False,False,0.280544638633728,0.9617300482056775,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank18_beit_gene_token_full/Macosko/seed42
smoke,rank19_data2vec_latent_teacher_full,Melanoma_5K,42,0.4480389984489253,0.3965989204884374,0.2855325024452151,0.35901863635929676,0.735414,0.668029,False,False,0.7058213949203491,0.667848437846222,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_smoke/rank19_data2vec_latent_teacher_full/Melanoma_5K/seed42
screen,rank19_data2vec_latent_teacher_full,Melanoma_5K,42,0.6414801684023931,0.6822319085981512,0.5703153687693299,0.5097800296680245,0.735414,0.668029,False,False,1.0856282711029053,0.8795036561045867,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank19_data2vec_latent_teacher_full/Melanoma_5K/seed42
screen,rank19_data2vec_latent_teacher_full,Quake_10x_Spleen,42,0.5391541038525963,0.5577991450729478,0.3193816572186442,0.4472692647136787,0.85173,0.922275,False,False,1.1117277145385742,0.9906721105527638,0.0,/home/luolie/biopipeline/dimension-reduction/plantnet/methods/DeepLearning/scMAEs/runs/scMAEs_independent_screen/rank19_data2vec_latent_teacher_full/Quake_10x_Spleen/seed42
