dataset,method,acc_mean,acc_std,acc_count,nmi_mean,nmi_std,nmi_count,ari_mean,ari_std,ari_count,f1_macro_mean,f1_macro_std,f1_macro_count,runtime_seconds_mean,runtime_seconds_std,seed_<lambda>,n_seeds,method_raw
Limb_Muscle,DEC,0.6198516244563828,0.013519785379098304,3,0.4999811176064581,0.027890067831220614,3,0.34146893390231664,0.03343315761904542,3,0.4201311516425566,0.026478383955117705,3,31.53333333333333,1.4571661996262946,"42,2024,3407",3,dec
Limb_Muscle,Leiden,0.8670589238509422,0.00039077135626806246,3,0.8420477648604471,0.0013030835369516837,3,0.7692373578047157,0.0003117677106998742,3,0.7917375433647096,0.000845586669510869,3,23.266666666666666,1.274100990241092,"42,2024,3407",3,leiden
Limb_Muscle,Louvain,0.8642449049202695,0.0012875986075331707,3,0.8322141504445798,0.0034340074086207685,3,0.7623801418517505,0.0025938792259447827,3,0.7884838774128758,0.002616917207673236,3,26.066666666666666,0.9712534856222304,"42,2024,3407",3,louvain
Limb_Muscle,scMAE + NeighborMix,0.9902788436940394,0.00798797390432141,3,0.9715458297888478,0.016920478435715213,3,0.9806019716344355,0.018960315354168224,3,0.9871849509368257,0.009035552114665777,3,57.96666666666667,1.3316656236958813,"42,2024,3407",3,neighbormix_scmae
Limb_Muscle,scMAE w/o NeighBorMix,0.9897672038884625,0.005551940244106048,3,0.9664355493259666,0.014927072024081093,3,0.9767043744903111,0.02091748588301707,3,0.9876465744842954,0.0020948048429721847,3,34.666666666666664,6.621429855653035,"42,2024,3407",3,nm_scmae_nomix
Limb_Muscle,SC3,0.19305875330434039,0.16397164432320166,3,0.8532708385406397,0.033151939568670824,3,0.8061943683111803,0.09321405493250703,3,0.17117220487909823,0.15066480855858969,3,11.5,0.09999999999999964,"42,2024,3407",3,sc3
Limb_Muscle,scDCC,0.9843097126289759,0.009421445650119558,3,0.9555565440877848,0.01992777536974506,3,0.9644120336668903,0.021841636152110624,3,0.9817476697010358,0.010094140801019356,3,106.23333333333333,1.3503086067019374,"42,2024,3407",3,scdcc
Limb_Muscle,scMAE,0.9897672038884625,0.005551940244106048,3,0.9664355493259666,0.014927072024081093,3,0.9767043744903111,0.02091748588301707,3,0.9876465744842954,0.0020948048429721847,3,36.96666666666667,1.6802777548171424,"42,2024,3407",3,scmae
Limb_Muscle,DESC,0.6162701458173446,0.019767778456844774,3,0.6248187652403068,0.01637329970400061,3,0.3517617952675382,0.030595075697696577,3,0.6183795101573467,0.01492349225704051,3,87.33333333333333,16.544586224301085,"42,2024,3407",3,desc
Limb_Muscle,scNAME,0.8141894772746653,0.060473862691422894,3,0.8452218417351087,0.04741868007678089,3,0.7595569059445727,0.07164092346177046,3,0.7092788600536614,0.11978851773354111,3,1234.0333333333333,25.186570495669503,"42,2024,3407",3,scname
Limb_Muscle,scziDesk,0.8611750660868082,0.1355385252628465,3,0.8741500130994448,0.09927181898397783,3,0.8260088596191361,0.16824091293412782,3,0.7686686841215882,0.2132075002670649,3,669.5333333333333,128.97869333084952,"42,2024,3407",3,sczidesk
Limb_Muscle,AttentionAE-SC,0.5303999317813592,0.369524772918272,3,0.5044209889286994,0.4353222437344822,3,0.43797746434845,0.3937612528596384,3,0.4236583825635647,0.34891068378050016,3,264.0,45.075381307316746,"42,2024,3407",3,attentionae_sc
Macosko,DEC,0.6924061179551271,0.02232081671225479,3,0.38482702367601246,0.03526572460977925,3,0.45311697380373367,0.03078306844619923,3,0.3120140224771404,0.01279108995061821,3,232.23333333333335,13.915578799796068,"42,2024,3407",3,dec
Macosko,Leiden,0.6293295840028567,0.0018559741908847841,3,0.5017398347707935,0.0009012352561909429,3,0.4070531250603488,0.004128811242929227,3,0.42750839495954057,0.0029052279967743404,3,132.76666666666668,2.7300793639257535,"42,2024,3407",3,leiden
Macosko,Louvain,0.451600904600369,0.26687594588956937,3,0.3470218219273018,0.11001652529345711,3,0.2920666398870636,0.053084057577007376,3,0.1982366676041957,0.12026358729205398,3,217.46666666666667,3.579571668975681,"42,2024,3407",3,louvain
Macosko,scMAE + NeighborMix,0.5608894245075283,0.07220100386411687,3,0.6320480334322155,0.032146385890049776,3,0.42142622578886774,0.0880429874202492,3,0.5966026609442459,0.04439195890717822,3,599.9,4.203569911396715,"42,2024,3407",3,neighbormix_scmae
Macosko,scMAE w/o NeighBorMix,0.6252306135809081,0.0839483537160701,3,0.6574652576981922,0.03947562156322579,3,0.4942679711040445,0.08727862124491376,3,0.629780453694449,0.05060980478659491,3,327.90000000000003,7.960527620704538,"42,2024,3407",3,nm_scmae_nomix
Macosko,SC3,0.14105368089031714,0.05720819801438112,3,0.5101529846012683,0.00031068793047737796,3,0.21357556301837685,0.0004764037858878194,3,0.09043250990617807,0.06330121284092241,3,162.70000000000002,4.728636167014748,"42,2024,3407",3,sc3
Macosko,scDCC,0.5197955722192465,0.012443130497149816,3,0.6277593491210957,0.015173824132620492,3,0.40292864521079325,0.061527765379523806,3,0.48025295698332315,0.015688445180227384,3,1255.9666666666665,32.74405798512662,"42,2024,3407",3,scdcc
Macosko,scMAE,0.6252306135809081,0.0839483537160701,3,0.6574652576981922,0.03947562156322579,3,0.4942679711040445,0.08727862124491376,3,0.629780453694449,0.05060980478659491,3,272.6333333333333,14.83958669685019,"42,2024,3407",3,scmae
Macosko,DESC,0.4486475629351901,0.009279119517445296,2,0.5569065072330307,0.017157042148192088,2,0.2884082282022088,0.011026532257072482,2,0.43466679802515534,0.001620928886180853,2,678.0999999999999,37.75950211536158,"42,2024",2,desc
Macosko,scNAME,0.6561328334226031,,1,0.0,,1,0.0,,1,0.0660306166451056,,1,12360.6,,2024,1,scname
Macosko,scziDesk,0.6561328334226031,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0660306166451056,0.0,3,5951.2,1366.0643579275463,"42,2024,3407",3,sczidesk
Macosko,scGPT,0.3846857703981431,,1,0.5347891642857675,,1,0.2256591914073745,,1,0.3255126286916281,,1,,,42,1,scgpt_plantnet
Melanoma_5K,DEC,0.48991801462441836,0.06214143371770003,3,0.3536437019977429,0.019665747343477598,3,0.25137719539525594,0.024758886043914345,3,0.383095209320435,0.03147654836593219,3,38.76666666666667,1.8147543451754928,"42,2024,3407",3,dec
Melanoma_5K,Leiden,0.5139227417091367,0.0006769444855537083,3,0.5570695730773894,0.0015020284757767412,3,0.395414336072123,0.0008030619084160622,3,0.46830007168390225,0.0003974466323985978,3,23.633333333333336,0.25166114784235816,"42,2024,3407",3,leiden
Melanoma_5K,Louvain,0.49634389541325064,0.012857490872062075,3,0.5083716984615397,0.025153543125972226,3,0.35733907785120306,0.022490302034384853,3,0.4403720382917165,0.017346403512483594,3,26.3,1.6703293088490079,"42,2024,3407",3,louvain
Melanoma_5K,scMAE + NeighborMix,0.7901617549302017,0.06767075135063978,3,0.7436230407716087,0.028199526419447344,3,0.7100673672988038,0.06315270332004934,3,0.6454136571152151,0.06312717322888335,3,63.199999999999996,0.5291502622129168,"42,2024,3407",3,neighbormix_scmae
Melanoma_5K,scMAE w/o NeighBorMix,0.7391978728118768,0.0021823305565690306,3,0.7354142539386092,0.0023903450121065314,3,0.6680290590513426,0.0017104425909449362,3,0.6565123506329827,0.0002567090692524492,3,36.03333333333333,1.7502380790433434,"42,2024,3407",3,nm_scmae_nomix
Melanoma_5K,SC3,0.39995568358076666,0.026481609953966846,3,0.7216360912033205,0.0001302127030426052,3,0.6346056466329398,0.00030701364072015534,3,0.14773105080739832,0.0563061222202053,3,11.6,0.0999999999999992,"42,2024,3407",3,sc3
Melanoma_5K,scDCC,0.6405938400177266,0.03473471635869622,3,0.658044279735691,0.009052441607759061,3,0.5080039708546513,0.022425927086259036,3,0.4941490759162297,0.04124050385194868,3,135.83333333333334,3.1722757341273615,"42,2024,3407",3,scdcc
Melanoma_5K,scMAE,0.7391978728118768,0.0021823305565690306,3,0.7354142539386092,0.0023903450121065314,3,0.6680290590513426,0.0017104425909449362,3,0.6565123506329827,0.0002567090692524492,3,29.400000000000002,0.700000000000002,"42,2024,3407",3,scmae
Melanoma_5K,DESC,0.6357190339020607,0.00952803013516511,3,0.5642207210520703,0.018185822673004077,3,0.42430112045811635,0.024940381969901747,3,0.4248457006512849,0.027047101624640968,3,86.3,8.252878285786116,"42,2024,3407",3,desc
Melanoma_5K,scNAME,0.6423664967870596,0.006267288111558099,2,0.6681722853564231,0.006367988563898385,2,0.5700897952927598,0.015548387274030124,2,0.5329021335532749,0.038097391490512535,2,1445.55,78.84240610230005,"2024,3407",2,scname
