dataset,method,seed,variant,mix_mode,pseudo_objective,g_max,pseudo_weight,known_k_interpretation,acc,nmi,ari,f1_macro,fmi,v_measure,homogeneity,completeness,n_pred_clusters,silhouette,protocol,cluster_method,uses_known_k,stage,run_dir,macro_f1,rare_cell_recall,gate_mean,gate_std,fraction_gate_lt_0.05_gmax,fraction_gate_gt_0.95_gmax,corr_gate_R,corr_gate_H,valid_edge_count_mean,no_valid_neighbor_rate,fallback_rate,effective_neighbor_count_mean,max_edge_weight_p95,KS_distance_perturb_norm,median_library_size_relative_diff,zero_fraction_absolute_diff,clip_rate_eta,passes_matching_thresholds,median_TV_ratio_all_genes,median_TV_ratio_high_TV_genes,high_TV_compression_rate,fixed_ari,fixed_macro_f1,fixed_rare_cell_recall,delta_ari_vs_fixed_control,delta_macro_f1_vs_fixed_control,delta_rare_recall_vs_fixed_control
worm_neuron_cell,RC_NeighborMix,42,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.7584806497849976,0.6554603225831381,0.570209685748643,0.7178855637655972,0.6296339283939464,0.655460322583138,0.6649432478747351,0.6462440710229707,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/fixed_control_rec_only,0.7178855637655972,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,7.915910176779742,0.0,0.0033444816053511705,3.778993606567383,0.8722804188728333,,,,,,0.7966988924173537,0.7998510910231507,0.508,0.570209685748643,0.7178855637655972,,0.0,0.0,
worm_neuron_cell,RC_NeighborMix,42,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.7355470616340182,0.6447311708644594,0.5389729119152157,0.6963236492045374,0.6018970229457994,0.6447311708644594,0.6564371875558099,0.6334353381753022,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/edge_only_rec_only,0.6963236492045374,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,7.915910176779742,0.0,0.0033444816053511705,3.778993606567383,0.8722804188728333,,,,,,0.7651100561596555,0.7665383290356244,0.832,0.570209685748643,0.7178855637655972,,-0.031236773833427267,-0.021561914561059825,
worm_neuron_cell,RC_NeighborMix,42,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.6817964644051601,0.6081599957719089,0.4584456791064366,0.6596791553313887,0.5333435682096597,0.6081599957719089,0.6138133320119054,0.6026098457476701,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/gate_only_rec_only,0.6596791553313887,,0.04386066272854805,0.03692376986145973,0.23745819397993312,0.09292881032011467,0.9624710146344787,-0.7770276795958772,7.915910176779742,0.0,0.0033444816053511705,3.778993606567383,0.8722804188728333,,,,,,0.9005216021824999,0.9036488770435619,0.0,0.570209685748643,0.7178855637655972,,-0.11176400664220637,-0.058206408434208545,
worm_neuron_cell,RC_NeighborMix,42,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.7467749641662685,0.645441029409914,0.5657135738101677,0.7041498809735479,0.6253034339820642,0.645441029409914,0.6568641831894962,0.63440839161067,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/analytic_RC_rec_only,0.7041498809735479,,0.04386066272854805,0.03692376986145973,0.23745819397993312,0.09292881032011467,0.9624710146344787,-0.7770276795958772,7.915910176779742,0.0,0.0033444816053511705,3.778993606567383,0.8722804188728333,,,,,,0.8907712153394982,0.8952593914776306,0.0,0.570209685748643,0.7178855637655972,,-0.004496111938475211,-0.013735682792049286,
worm_neuron_cell,RC_NeighborMix,42,stage1B_random_delta_matched_rec_only,random_delta_matched,rec_only,0.1,0.3,oracle-k embedding separability only,0.7439082656473961,0.651295729247757,0.5408608188705206,0.7125743019019569,0.6032988345169683,0.6512957292477571,0.664721194022454,0.6384018400609612,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed42/random_delta_matched_rec_only,0.7125743019019569,,0.04386066272854805,0.03692376986145973,0.23745819397993312,0.09292881032011467,0.9624710146344787,-0.7770276795958772,7.915910176779742,0.0,0.0033444816053511705,3.778993606567383,0.8722804188728333,0.00047778308647875023,0.00016147994028870016,0.020000000000000018,0.0,True,0.9472360863196663,0.9501268976866043,0.0,0.570209685748643,0.7178855637655972,,-0.029348866878122326,-0.005311261863640282,
worm_neuron_cell,RC_NeighborMix,2024,stage1B_fixed_control_rec_only,fixed_control,rec_only,0.1,0.3,oracle-k embedding separability only,0.6662685140946011,0.6152667620214793,0.4767464543892307,0.6436098426065809,0.546667820220495,0.6152667620214795,0.6347211657420284,0.5969694599775736,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/fixed_control_rec_only,0.6436098426065809,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,7.912326803631151,0.0,0.0023889154323936935,3.786576986312866,0.8794498443603516,,,,,,0.7965731685772719,0.8000407000052803,0.5,0.4767464543892307,0.6436098426065809,,0.0,0.0,
worm_neuron_cell,RC_NeighborMix,2024,stage1B_edge_only_rec_only,edge_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.6813186813186813,0.6329019427217368,0.4950936449791053,0.6607310681828694,0.5629134922005449,0.6329019427217369,0.6513605012339678,0.6154607287517128,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/edge_only_rec_only,0.6607310681828694,,0.10000001639127731,1.4901161193847656e-08,0.0,1.0,0.0,0.0,7.912326803631151,0.0,0.0023889154323936935,3.786576986312866,0.8794498443603516,,,,,,0.7652528271889162,0.7665074843158498,0.836,0.4767464543892307,0.6436098426065809,,0.018347190589874607,0.01712122557628848,
worm_neuron_cell,RC_NeighborMix,2024,stage1B_gate_only_rec_only,gate_only,rec_only,0.1,0.3,oracle-k embedding separability only,0.6944577161968466,0.6426440409059393,0.5118073322270248,0.6772931123097029,0.5774550071668062,0.6426440409059393,0.6646630738364783,0.6220371251877705,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/gate_only_rec_only,0.6772931123097029,,0.04387814551591873,0.036928899586200714,0.23984710941232681,0.09531772575250837,0.9625513792209468,-0.7774221163585241,7.912326803631151,0.0,0.0023889154323936935,3.786576986312866,0.8794498443603516,,,,,,0.9002731338179728,0.9042960820265011,0.0,0.4767464543892307,0.6436098426065809,,0.0350608778377941,0.033683269703121965,
worm_neuron_cell,RC_NeighborMix,2024,stage1B_analytic_RC_rec_only,analytic_RC,rec_only,0.1,0.3,oracle-k embedding separability only,0.68561872909699,0.6263286339135005,0.4922211676742468,0.6755634456916597,0.5612324659022879,0.6263286339135006,0.6409775804196028,0.6123343028780226,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/analytic_RC_rec_only,0.6755634456916597,,0.04387814551591873,0.036928899586200714,0.23984710941232681,0.09531772575250837,0.9625513792209468,-0.7774221163585241,7.912326803631151,0.0,0.0023889154323936935,3.786576986312866,0.8794498443603516,,,,,,0.8912566131106572,0.8962420863518272,0.0,0.4767464543892307,0.6436098426065809,,0.015474713285016095,0.031953603085078774,
worm_neuron_cell,RC_NeighborMix,2024,stage1B_random_delta_matched_rec_only,random_delta_matched,rec_only,0.1,0.3,oracle-k embedding separability only,0.6892021022455805,0.6297104523964754,0.4991493185424788,0.6783145624939271,0.5673498081962549,0.6297104523964754,0.6440577492125257,0.6159884391415685,10,,fixed,kmeans_known_k,True,stage1B,results/rc_nm_checkpoint_v4_1/stage1B/worm_neuron_cell/seed2024/random_delta_matched_rec_only,0.6783145624939271,,0.04387814551591873,0.036928899586200714,0.23984710941232681,0.09531772575250837,0.9625513792209468,-0.7774221163585241,7.912326803631151,0.0,0.0023889154323936935,3.786576986312866,0.8794498443603516,0.00047778308647873635,0.00016609529848210514,0.020000000000000018,0.0,True,0.947440098939524,0.9505054362930929,0.0,0.4767464543892307,0.6436098426065809,,0.022402864153248103,0.034704719887346136,
