sweep,dataset,label,value,seed,gate_max,neighbor_k,pseudo_weight,ari,acc,nmi,mean_node_gate,effective_neighbor_count,max_edge_weight_p95,path
neighbor_k,Macosko,neighbor_k_15,15,42,0.1,15,0.3,0.5563503619552946,0.6899883949294768,0.6848444524434122,0.057172320783138275,14.068551063537598,0.16904248297214508,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Macosko/neighbor_k_15/seed42
neighbor_k,Melanoma_5K,neighbor_k_15,15,42,0.15,15,0.3,0.6587082159385944,0.7347662308885442,0.7307759351393306,0.08848604559898376,13.714312553405762,0.23843638598918915,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Melanoma_5K/neighbor_k_15/seed42
neighbor_k,SRP182008,neighbor_k_15,15,42,0.1,15,0.3,0.42929656803409294,0.5845789551576144,0.6213127057962352,0.056899543851614,14.002345085144043,0.1960374414920807,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/SRP182008/neighbor_k_15/seed42
neighbor_k,Tosches,neighbor_k_15,15,42,0.15,15,0.3,0.5434157955104577,0.6459494213459066,0.763762234487284,0.08783899247646332,14.116591453552246,0.16260139644145966,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Tosches/neighbor_k_15/seed42
neighbor_k,Wang,neighbor_k_15,15,42,0.1,15,0.3,0.9454286675432151,0.9874986868368526,0.8794394381916439,0.058133192360401154,14.130574226379395,0.1645914614200592,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/neighbor_k/Wang/neighbor_k_15/seed42
pseudo_weight,Macosko,pseudo_weight_0p1,0.1,42,0.1,10,0.1,0.5666507231933178,0.7106543474379575,0.690885913363048,0.05683118849992752,9.436885833740234,0.23006495833396912,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Macosko/pseudo_weight_0p1/seed42
pseudo_weight,Melanoma_5K,pseudo_weight_0p1,0.1,42,0.15,10,0.1,0.6649137592226879,0.7354309771770441,0.7332620012736941,0.0871904194355011,9.249198913574219,0.3013256788253784,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Melanoma_5K/pseudo_weight_0p1/seed42
pseudo_weight,SRP182008,pseudo_weight_0p1,0.1,42,0.1,10,0.1,0.3566339173823635,0.56245375166494,0.6004908515428156,0.05604374036192894,9.404626846313477,0.25627434253692627,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/SRP182008/pseudo_weight_0p1/seed42
pseudo_weight,Tosches,pseudo_weight_0p1,0.1,42,0.15,10,0.1,0.543983752412749,0.6486283754822117,0.7646825454502267,0.0868874117732048,9.459118843078613,0.22250010073184967,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Tosches/pseudo_weight_0p1/seed42
pseudo_weight,Wang,pseudo_weight_0p1,0.1,42,0.1,10,0.1,0.940506399775066,0.9863431032671499,0.8713224086518259,0.057707127183675766,9.480402946472168,0.22201292216777802,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Wang/pseudo_weight_0p1/seed42
pseudo_weight,Macosko,pseudo_weight_0p3,0.3,42,0.1,10,0.3,0.5520970350028693,0.7194920549901803,0.6924783438619452,0.05683118849992752,9.436885833740234,0.23006495833396912,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Macosko/pseudo_weight_0p3/seed42
pseudo_weight,Melanoma_5K,pseudo_weight_0p3,0.3,42,0.15,10,0.3,0.6579231820466342,0.7345446487923776,0.7302366307244191,0.0871904194355011,9.249198913574219,0.3013256788253784,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Melanoma_5K/pseudo_weight_0p3/seed42
pseudo_weight,SRP182008,pseudo_weight_0p3,0.3,42,0.1,10,0.3,0.4502794186734164,0.6067041586502886,0.6269853399915944,0.05604374036192894,9.404626846313477,0.25627434253692627,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/SRP182008/pseudo_weight_0p3/seed42
pseudo_weight,Tosches,pseudo_weight_0p3,0.3,42,0.15,10,0.3,0.5311731834994952,0.6329297042434634,0.741236275959622,0.0868874117732048,9.459118843078613,0.22250010073184967,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Tosches/pseudo_weight_0p3/seed42
pseudo_weight,Wang,pseudo_weight_0p3,0.3,42,0.1,10,0.3,0.9436364081059153,0.987078474629688,0.8764542747177129,0.057707127183675766,9.480402946472168,0.22201292216777802,experiment_packages/rg_gate_attention_20260613/outputs/phase2_sensitivity/pseudo_weight/Wang/pseudo_weight_0p3/seed42
